# Dataset: AmazonCoPurchase 1234877 file:///scratch/per/datasets/amazon-0302
# Repetitions: 10
# Git commit: c84462e01fd04c080dc36ecb276ea11c6371ad8a
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,BinaryJoins,000000188.705,3.13,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.77,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.38,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.11,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.03,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.01,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.24,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.58,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.50,0.00,0.00,0.00
3-clique,BinaryJoins,000000188.705,2.01,0.00,0.00,0.00
3-clique,WCOJ,000000188.705,3.35,0.56,0.01,2.32
3-clique,WCOJ,000000188.705,2.66,0.50,0.01,1.95
3-clique,WCOJ,000000188.705,2.58,0.45,0.01,1.93
3-clique,WCOJ,000000188.705,2.73,0.45,0.01,2.04
3-clique,WCOJ,000000188.705,2.84,0.45,0.01,2.20
3-clique,WCOJ,000000188.705,2.72,0.45,0.01,2.08
3-clique,WCOJ,000000188.705,2.82,0.48,0.01,2.13
3-clique,WCOJ,000000188.705,2.59,0.45,0.01,1.94
3-clique,WCOJ,000000188.705,2.59,0.46,0.01,1.94
3-clique,WCOJ,000000188.705,2.58,0.45,0.01,1.93
3-clique,GraphWCOJ,000000188.705,3.18,0.57,0.01,2.36
3-clique,GraphWCOJ,000000188.705,2.46,0.23,0.01,2.07
3-clique,GraphWCOJ,000000188.705,2.40,0.22,0.01,2.04
3-clique,GraphWCOJ,000000188.705,2.45,0.22,0.01,2.06
3-clique,GraphWCOJ,000000188.705,2.41,0.22,0.01,2.05
3-clique,GraphWCOJ,000000188.705,2.40,0.22,0.01,2.04
3-clique,GraphWCOJ,000000188.705,2.44,0.22,0.01,2.07
3-clique,GraphWCOJ,000000188.705,2.40,0.22,0.01,2.05
3-clique,GraphWCOJ,000000188.705,2.41,0.22,0.01,2.05
3-clique,GraphWCOJ,000000188.705,2.41,0.22,0.01,2.05
4-clique,BinaryJoins,000000047.824,4.42,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.16,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.42,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.47,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.21,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.28,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.01,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,2.98,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.21,0.00,0.00,0.00
4-clique,BinaryJoins,000000047.824,3.12,0.00,0.00,0.00
4-clique,WCOJ,000000047.824,6.02,1.37,0.00,4.29
4-clique,WCOJ,000000047.824,5.93,1.56,0.00,4.13
4-clique,WCOJ,000000047.824,5.57,1.43,0.00,3.90
4-clique,WCOJ,000000047.824,5.49,1.35,0.00,3.90
4-clique,WCOJ,000000047.824,5.59,1.44,0.00,3.92
4-clique,WCOJ,000000047.824,5.50,1.34,0.00,3.93
4-clique,WCOJ,000000047.824,5.58,1.42,0.00,3.92
4-clique,WCOJ,000000047.824,5.47,1.34,0.00,3.90
4-clique,WCOJ,000000047.824,5.48,1.35,0.00,3.90
4-clique,WCOJ,000000047.824,5.55,1.42,0.00,3.91
4-clique,GraphWCOJ,000000047.824,2.50,0.33,0.00,2.05
4-clique,GraphWCOJ,000000047.824,2.49,0.33,0.00,2.05
4-clique,GraphWCOJ,000000047.824,2.55,0.33,0.00,2.09
4-clique,GraphWCOJ,000000047.824,2.52,0.33,0.00,2.08
4-clique,GraphWCOJ,000000047.824,2.67,0.32,0.00,2.24
4-clique,GraphWCOJ,000000047.824,2.48,0.32,0.00,2.04
4-clique,GraphWCOJ,000000047.824,2.56,0.33,0.00,2.11
4-clique,GraphWCOJ,000000047.824,2.51,0.33,0.00,2.05
4-clique,GraphWCOJ,000000047.824,2.48,0.33,0.00,2.04
4-clique,GraphWCOJ,000000047.824,2.50,0.32,0.00,2.06
5-clique,BinaryJoins,000000007.064,3.80,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.48,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.68,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.80,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.38,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.28,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.73,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.80,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.61,0.00,0.00,0.00
5-clique,BinaryJoins,000000007.064,3.70,0.00,0.00,0.00
5-clique,WCOJ,000000007.064,11.14,2.95,0.00,7.66
5-clique,WCOJ,000000007.064,9.50,2.38,-0.00,6.78
5-clique,WCOJ,000000007.064,9.51,2.47,-0.00,6.63
5-clique,WCOJ,000000007.064,9.45,2.59,-0.00,6.53
5-clique,WCOJ,000000007.064,9.29,2.43,-0.00,6.54
5-clique,WCOJ,000000007.064,9.34,2.48,-0.00,6.54
5-clique,WCOJ,000000007.064,9.23,2.34,-0.00,6.57
5-clique,WCOJ,000000007.064,9.22,2.33,-0.00,6.56
5-clique,WCOJ,000000007.064,9.23,2.33,-0.00,6.57
5-clique,WCOJ,000000007.064,9.40,2.49,-0.00,6.58
5-clique,GraphWCOJ,000000007.064,3.38,0.41,-0.00,2.84
5-clique,GraphWCOJ,000000007.064,3.15,0.42,-0.00,2.62
5-clique,GraphWCOJ,000000007.064,3.06,0.41,-0.00,2.55
5-clique,GraphWCOJ,000000007.064,3.08,0.41,-0.00,2.54
5-clique,GraphWCOJ,000000007.064,3.10,0.41,-0.00,2.55
5-clique,GraphWCOJ,000000007.064,3.10,0.41,-0.00,2.56
5-clique,GraphWCOJ,000000007.064,3.08,0.41,-0.00,2.54
5-clique,GraphWCOJ,000000007.064,3.07,0.40,-0.00,2.53
5-clique,GraphWCOJ,000000007.064,3.06,0.41,-0.00,2.53
5-clique,GraphWCOJ,000000007.064,3.06,0.41,-0.00,2.53
kite,BinaryJoins,000000220.637,4.66,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.46,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.71,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.59,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.14,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.78,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.58,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.58,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.94,0.00,0.00,0.00
kite,BinaryJoins,000000220.637,3.92,0.00,0.00,0.00
kite,WCOJ,000000220.637,6.87,1.04,0.01,5.57
kite,WCOJ,000000220.637,6.38,1.03,0.01,5.13
kite,WCOJ,000000220.637,6.39,1.02,0.01,5.16
kite,WCOJ,000000220.637,6.39,1.04,0.01,5.14
kite,WCOJ,000000220.637,6.41,1.05,0.01,5.14
kite,WCOJ,000000220.637,6.38,1.04,0.01,5.12
kite,WCOJ,000000220.637,6.38,1.05,0.01,5.11
kite,WCOJ,000000220.637,6.44,1.05,0.01,5.14
kite,WCOJ,000000220.637,6.57,1.05,0.01,5.31
kite,WCOJ,000000220.637,6.66,1.04,0.01,5.40
kite,GraphWCOJ,000000220.637,2.58,0.42,0.01,2.04
kite,GraphWCOJ,000000220.637,2.60,0.42,0.01,2.05
kite,GraphWCOJ,000000220.637,2.59,0.42,0.01,2.04
kite,GraphWCOJ,000000220.637,2.60,0.42,0.01,2.06
kite,GraphWCOJ,000000220.637,2.61,0.43,0.01,2.05
kite,GraphWCOJ,000000220.637,2.61,0.42,0.01,2.06
kite,GraphWCOJ,000000220.637,2.62,0.41,0.01,2.07
kite,GraphWCOJ,000000220.637,2.61,0.41,0.01,2.04
kite,GraphWCOJ,000000220.637,2.70,0.42,0.01,2.07
