# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15
# Materialization time (GraphWCOJ):8.88
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428776738,1569428782509,0.00,0.00,1569428776839,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428776911,1569428776911,1569428776914,1569428776911,1569428776914,1569428776911,1569428776912,1569428776912,1569428776914,1569428776913,1569428776916,1569428776914,1569428776914,1569428776916,1569428776913,1569428776914,1569428782413,1569428782471,1569428782413,1569428782413,1569428782413,1569428782413,1569428782413,1569428782413,1569428782413,1569428782413,1569428782445,1569428782413,1569428782413,1569428782413,1569428782413,1569428782413
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428789203,1569428795352,0.00,0.00,1569428789273,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428789330,1569428789330,1569428789333,1569428789330,1569428789333,1569428789332,1569428789330,1569428789332,1569428789331,1569428789333,1569428789333,1569428789330,1569428789330,1569428789330,1569428789333,1569428789331,1569428795168,1569428795168,1569428795168,1569428795168,1569428795168,1569428795169,1569428795168,1569428795168,1569428795168,1569428795168,1569428795203,1569428795169,1569428795168,1569428795307,1569428795232,1569428795168
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428797451,1569428803344,0.00,0.00,1569428797525,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428797591,1569428797591,1569428797592,1569428797591,1569428797592,1569428797589,1569428797591,1569428797590,1569428797588,1569428797592,1569428797589,1569428797591,1569428797591,1569428797589,1569428797589,1569428797591,1569428803236,1569428803236,1569428803236,1569428803236,1569428803236,1569428803297,1569428803236,1569428803236,1569428803236,1569428803236,1569428803236,1569428803284,1569428803236,1569428803236,1569428803236,1569428803236
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428805108,1569428811147,0.00,0.00,1569428805179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428805238,1569428805238,1569428805237,1569428805238,1569428805239,1569428805239,1569428805238,1569428805238,1569428805238,1569428805238,1569428805238,1569428805238,1569428805236,1569428805238,1569428805238,1569428805238,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034,1569428811115,1569428811076,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034,1569428811034
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428811954,1569428817090,0.00,0.00,1569428812010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428812059,1569428812059,1569428812062,1569428812059,1569428812062,1569428812058,1569428812060,1569428812062,1569428812059,1569428812062,1569428812059,1569428812059,1569428812062,1569428812062,1569428812058,1569428812059,1569428816980,1569428816980,1569428817058,1569428817022,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980,1569428816980
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428817868,1569428823016,0.00,0.00,1569428817923,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428817973,1569428817972,1569428817974,1569428817973,1569428817972,1569428817972,1569428817973,1569428817974,1569428817974,1569428817973,1569428817972,1569428817973,1569428817974,1569428817972,1569428817974,1569428817974,1569428822948,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822917,1569428822983,1569428822917
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428823844,1569428828945,0.00,0.00,1569428823894,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428823940,1569428823940,1569428823940,1569428823940,1569428823941,1569428823941,1569428823940,1569428823940,1569428823942,1569428823940,1569428823943,1569428823941,1569428823942,1569428823941,1569428823941,1569428823940,1569428828847,1569428828847,1569428828847,1569428828847,1569428828879,1569428828847,1569428828847,1569428828916,1569428828847,1569428828847,1569428828847,1569428828847,1569428828847,1569428828847,1569428828847,1569428828847
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428829741,1569428834830,0.00,0.00,1569428829793,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428829845,1569428829845,1569428829839,1569428829846,1569428829840,1569428829844,1569428829845,1569428829844,1569428829845,1569428829841,1569428829841,1569428829840,1569428829845,1569428829844,1569428829841,1569428829845,1569428834751,1569428834782,1569428834751,1569428834751,1569428834751,1569428834751,1569428834807,1569428834751,1569428834751,1569428834751,1569428834751,1569428834751,1569428834751,1569428834751,1569428834751,1569428834751
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428835623,1569428840797,0.00,0.00,1569428835667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428835712,1569428835713,1569428835715,1569428835713,1569428835713,1569428835713,1569428835715,1569428835713,1569428835713,1569428835713,1569428835713,1569428835713,1569428835712,1569428835715,1569428835716,1569428835713,1569428840702,1569428840702,1569428840703,1569428840702,1569428840702,1569428840702,1569428840702,1569428840702,1569428840702,1569428840702,1569428840702,1569428840763,1569428840734,1569428840702,1569428840702,1569428840702
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428842933,1569428848268,0.00,0.00,1569428842993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428843047,1569428843043,1569428843043,1569428843043,1569428843047,1569428843046,1569428843045,1569428843045,1569428843045,1569428843047,1569428843045,1569428843046,1569428843049,1569428843047,1569428843050,1569428843045,1569428848191,1569428848191,1569428848245,1569428848191,1569428848191,1569428848222,1569428848191,1569428848191,1569428848191,1569428848191,1569428848191,1569428848191,1569428848191,1569428848192,1569428848191,1569428848191
