# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15
# Materialization time (GraphWCOJ):8.70
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428166749,1569428172593,0.00,0.00,1569428166858,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428166926,1569428166927,1569428166927,1569428166927,1569428166927,1569428166927,1569428166941,1569428166942,1569428166940,1569428166940,1569428166938,1569428166942,1569428166943,1569428166942,1569428166943,1569428166940,1569428172497,1569428172497,1569428172498,1569428172497,1569428172497,1569428172498,1569428172497,1569428172564,1569428172501,1569428172498,1569428172497,1569428172498,1569428172497,1569428172497,1569428172497,1569428172530
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428173336,1569428178723,0.00,0.00,1569428173401,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428173459,1569428173459,1569428173465,1569428173459,1569428173461,1569428173459,1569428173461,1569428173459,1569428173465,1569428173464,1569428173459,1569428173465,1569428173459,1569428173459,1569428173461,1569428173461,1569428178590,1569428178590,1569428178590,1569428178590,1569428178590,1569428178593,1569428178590,1569428178590,1569428178685,1569428178590,1569428178590,1569428178590,1569428178598,1569428178590,1569428178642,1569428178590
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428180083,1569428185807,0.00,0.00,1569428180160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428180222,1569428180220,1569428180223,1569428180222,1569428180223,1569428180223,1569428180223,1569428180220,1569428180223,1569428180222,1569428180223,1569428180225,1569428180220,1569428180220,1569428180223,1569428180222,1569428185595,1569428185597,1569428185595,1569428185595,1569428185595,1569428185597,1569428185600,1569428185595,1569428185596,1569428185766,1569428185604,1569428185596,1569428185711,1569428185673,1569428185595,1569428185595
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428186536,1569428191953,0.00,0.00,1569428186601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428186653,1569428186653,1569428186654,1569428186654,1569428186653,1569428186653,1569428186678,1569428186653,1569428186653,1569428186654,1569428186654,1569428186654,1569428186668,1569428186656,1569428186657,1569428186656,1569428191856,1569428191854,1569428191853,1569428191853,1569428191930,1569428191903,1569428191853,1569428191853,1569428191854,1569428191853,1569428191853,1569428191853,1569428191859,1569428191854,1569428191853,1569428191854
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428192655,1569428197819,0.00,0.00,1569428192716,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428192762,1569428192763,1569428192768,1569428192763,1569428192779,1569428192763,1569428192771,1569428192762,1569428192765,1569428192768,1569428192767,1569428192763,1569428192785,1569428192762,1569428192763,1569428192767,1569428197761,1569428197723,1569428197723,1569428197723,1569428197723,1569428197723,1569428197723,1569428197723,1569428197725,1569428197723,1569428197723,1569428197723,1569428197793,1569428197724,1569428197723,1569428197723
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428198514,1569428203607,0.00,0.00,1569428198573,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428198617,1569428198622,1569428198617,1569428198633,1569428198618,1569428198620,1569428198617,1569428198620,1569428198620,1569428198617,1569428198617,1569428198620,1569428198632,1569428198618,1569428198617,1569428198632,1569428203514,1569428203512,1569428203512,1569428203583,1569428203512,1569428203512,1569428203512,1569428203512,1569428203512,1569428203512,1569428203512,1569428203516,1569428203512,1569428203512,1569428203551,1569428203512
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428204387,1569428209442,0.00,0.00,1569428204446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428204492,1569428204492,1569428204491,1569428204491,1569428204491,1569428204492,1569428204493,1569428204493,1569428204491,1569428204493,1569428204491,1569428204492,1569428204492,1569428204492,1569428204496,1569428204493,1569428209349,1569428209349,1569428209349,1569428209349,1569428209349,1569428209349,1569428209349,1569428209349,1569428209390,1569428209349,1569428209349,1569428209349,1569428209353,1569428209349,1569428209352,1569428209419
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428210153,1569428215532,0.00,0.00,1569428210206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428210254,1569428210260,1569428210254,1569428210280,1569428210259,1569428210254,1569428210254,1569428210258,1569428210260,1569428210254,1569428210254,1569428210260,1569428210259,1569428210258,1569428210254,1569428210254,1569428215449,1569428215449,1569428215449,1569428215486,1569428215449,1569428215449,1569428215449,1569428215449,1569428215449,1569428215449,1569428215470,1569428215449,1569428215449,1569428215449,1569428215449,1569428215515
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569428216271,1569428221599,0.00,0.00,1569428216322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569428216367,1569428216375,1569428216368,1569428216368,1569428216368,1569428216368,1569428216368,1569428216372,1569428216372,1569428216367,1569428216375,1569428216388,1569428216367,1569428216367,1569428216388,1569428216375,1569428221579,1569428221515,1569428221515,1569428221516,1569428221515,1569428221516,1569428221515,1569428221515,1569428221515,1569428221515,1569428221552,1569428221515,1569428221516,1569428221516,1569428221518,1569428221515
