# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15
# Materialization time (GraphWCOJ):7.82
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489811861,1569489817697,0.00,0.00,1569489811945,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489812001,1569489812001,1569489812002,1569489812002,1569489812001,1569489812003,1569489812008,1569489812008,1569489812008,1569489812008,1569489812008,1569489812009,1569489812009,1569489812009,1569489812009,1569489812010,1569489817558,1569489817559,1569489817558,1569489817558,1569489817559,1569489817559,1569489817600,1569489817559,1569489817559,1569489817559,1569489817666,1569489817558,1569489817559,1569489817559,1569489817560,1569489817559
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489818373,1569489823384,0.00,0.00,1569489818432,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489818484,1569489818485,1569489818484,1569489818485,1569489818485,1569489818485,1569489818485,1569489818484,1569489818485,1569489818484,1569489818484,1569489818484,1569489818484,1569489818484,1569489818484,1569489818484,1569489823282,1569489823282,1569489823282,1569489823282,1569489823282,1569489823282,1569489823282,1569489823282,1569489823352,1569489823282,1569489823326,1569489823305,1569489823282,1569489823282,1569489823282,1569489823282
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489824439,1569489829485,0.00,0.00,1569489824498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489824558,1569489824562,1569489824553,1569489824552,1569489824562,1569489824593,1569489824553,1569489824553,1569489824558,1569489824553,1569489824553,1569489824554,1569489824553,1569489824552,1569489824557,1569489824552,1569489829405,1569489829405,1569489829405,1569489829405,1569489829405,1569489829405,1569489829405,1569489829405,1569489829459,1569489829405,1569489829405,1569489829405,1569489829405,1569489829435,1569489829405,1569489829405
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489830460,1569489835259,0.00,0.00,1569489830530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489830588,1569489830587,1569489830588,1569489830588,1569489830589,1569489830587,1569489830591,1569489830589,1569489830587,1569489830590,1569489830590,1569489830587,1569489830588,1569489830590,1569489830589,1569489830589,1569489835178,1569489835179,1569489835233,1569489835210,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835178,1569489835181
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489835958,1569489842474,0.00,0.00,1569489836013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489836095,1569489836063,1569489836060,1569489836062,1569489836059,1569489836058,1569489836060,1569489836059,1569489836059,1569489836062,1569489836059,1569489836060,1569489836060,1569489836059,1569489836059,1569489836059,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842445,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842401,1569489842452
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489843156,1569489848059,0.00,0.00,1569489843207,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489843252,1569489847950,1569489847950,1569489847951,1569489847957,1569489847981,1569489847950,1569489847950,1569489847950,1569489847950,1569489848033,1569489847950,1569489847950,1569489847950,1569489847950,1569489847950,1569489847950
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489848727,1569489853641,0.00,0.00,1569489848776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489848816,1569489848816,1569489848817,1569489848817,1569489848816,1569489848816,1569489848817,1569489848816,1569489848815,1569489848815,1569489848815,1569489848815,1569489848815,1569489848816,1569489848815,1569489848816,1569489853579,1569489853613,1569489853538,1569489853538,1569489853596,1569489853538,1569489853538,1569489853538,1569489853538,1569489853538,1569489853538,1569489853538,1569489853538,1569489853582,1569489853538,1569489853545
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489854254,1569489859498,0.00,0.00,1569489854303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489854347,1569489854348,1569489854348,1569489854348,1569489854347,1569489854347,1569489854347,1569489854347,1569489854345,1569489854347,1569489854347,1569489854347,1569489854347,1569489854345,1569489854347,1569489854348,1569489859446,1569489859411,1569489859410,1569489859410,1569489859411,1569489859475,1569489859410,1569489859411,1569489859410,1569489859410,1569489859410,1569489859410,1569489859410,1569489859411,1569489859410,1569489859410
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489860112,1569489865036,0.00,0.00,1569489860160,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489860201,1569489860201,1569489860202,1569489860201,1569489860201,1569489860201,1569489860201,1569489860201,1569489860201,1569489860202,1569489860201,1569489860201,1569489860201,1569489860201,1569489860201,1569489860201,1569489865019,1569489864966,1569489864966,1569489864966,1569489864966,1569489864966,1569489864968,1569489864966,1569489864966,1569489864966,1569489864966,1569489865002,1569489864966,1569489864966,1569489864967,1569489864966
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569489865714,1569489870462,0.00,0.00,1569489865760,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569489865798,1569489865798,1569489865796,1569489865797,1569489865797,1569489865797,1569489865796,1569489865797,1569489865798,1569489865796,1569489865796,1569489865796,1569489865798,1569489865798,1569489865796,1569489865801,1569489870383,1569489870383,1569489870383,1569489870383,1569489870383,1569489870383,1569489870384,1569489870383,1569489870383,1569489870415,1569489870383,1569489870383,1569489870383,1569489870383,1569489870439,1569489870383
