# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15
# Materialization time (GraphWCOJ):7.78
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429457562,1569429463101,0.00,0.00,1569429457654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429457721,1569429457720,1569429457719,1569429457720,1569429457721,1569429457719,1569429457720,1569429457721,1569429457720,1569429457722,1569429457721,1569429457722,1569429457720,1569429457721,1569429457721,1569429457722,1569429463070,1569429462334,1569429462341,1569429462334,1569429462334,1569429462335,1569429462334,1569429462334,1569429462334,1569429462334,1569429462334,1569429462334,1569429462334,1569429462810,1569429462336,1569429462334
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429463990,1569429469223,0.00,0.00,1569429464059,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429464116,1569429464115,1569429464115,1569429464117,1569429464115,1569429464117,1569429464116,1569429464117,1569429464117,1569429464116,1569429464117,1569429464117,1569429464116,1569429464117,1569429464117,1569429464116,1569429469109,1569429469109,1569429469156,1569429469110,1569429469109,1569429469110,1569429469110,1569429469109,1569429469132,1569429469110,1569429469109,1569429469109,1569429469109,1569429469189,1569429469109,1569429469142
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429470180,1569429475290,0.00,0.00,1569429470243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429470298,1569429470298,1569429470298,1569429470298,1569429470298,1569429470296,1569429470298,1569429470297,1569429470297,1569429470296,1569429470298,1569429470297,1569429470297,1569429470298,1569429470297,1569429470296,1569429475183,1569429475256,1569429475182,1569429475182,1569429475184,1569429475182,1569429475182,1569429475183,1569429475183,1569429475182,1569429475182,1569429475226,1569429475183,1569429475182,1569429475182,1569429475182
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429476991,1569429482014,0.00,0.00,1569429477055,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429477101,1569429477102,1569429477102,1569429477102,1569429477102,1569429477101,1569429477102,1569429477102,1569429477101,1569429477102,1569429477102,1569429477102,1569429477102,1569429477101,1569429477101,1569429477102,1569429481918,1569429481918,1569429481918,1569429481986,1569429481918,1569429481918,1569429481918,1569429481918,1569429481918,1569429481918,1569429481918,1569429481918,1569429481949,1569429481919,1569429481918,1569429481918
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429482736,1569429487336,0.00,0.00,1569429482787,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429482828,1569429482829,1569429482829,1569429482830,1569429482830,1569429482828,1569429482829,1569429482829,1569429482828,1569429482830,1569429482830,1569429482830,1569429482829,1569429482830,1569429482829,1569429482829,1569429487279,1569429487241,1569429487240,1569429487241,1569429487240,1569429487240,1569429487240,1569429487240,1569429487240,1569429487240,1569429487302,1569429487241,1569429487240,1569429487240,1569429487240,1569429487240
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429489094,1569429493714,0.00,0.00,1569429489148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429489191,1569429493645,1569429493645,1569429493693,1569429493678,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645,1569429493645
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429494473,1569429499791,0.00,0.00,1569429494530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429494581,1569429494581,1569429494584,1569429494580,1569429494580,1569429494581,1569429494582,1569429494580,1569429494583,1569429494584,1569429494580,1569429494580,1569429494581,1569429494582,1569429494583,1569429494582,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499680,1569429499728,1569429499680,1569429499758,1569429499680,1569429499680
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429500486,1569429505072,0.00,0.00,1569429500533,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429500579,1569429500575,1569429500578,1569429500578,1569429500580,1569429500578,1569429500578,1569429500581,1569429500579,1569429500579,1569429500578,1569429500575,1569429500576,1569429500579,1569429500575,1569429500578,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989,1569429505048,1569429505026,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989,1569429504989
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,16,00127.525.239,1569429505804,1569429510382,0.00,0.00,1569429505846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1569429505890,1569429505890,1569429505889,1569429505890,1569429505894,1569429505894,1569429505890,1569429505890,1569429505894,1569429505890,1569429505894,1569429505894,1569429505890,1569429505890,1569429505890,1569429505889,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510309,1569429510340,1569429510309,1569429510309,1569429510309,1569429510363
