# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):9.00
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498434225,1569498524350,0.00,0.00,1569498434325,0.00,1569498434371,1569498524322
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498526230,1569498614727,0.00,0.00,1569498526307,0.00,1569498526360,1569498614693
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498615537,1569498705076,0.00,0.00,1569498615608,0.00,1569498615655,1569498705045
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498706613,1569498795310,0.00,0.00,1569498706673,0.00,1569498706719,1569498795289
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498795995,1569498882308,0.00,0.00,1569498796056,0.00,1569498796102,1569498882284
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498885113,1569498970966,0.00,0.00,1569498885167,0.00,1569498885208,1569498970945
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569498971652,1569499058081,0.00,0.00,1569498971706,0.00,1569498971748,1569499058057
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569499060770,1569499147010,0.00,0.00,1569499060821,0.00,1569499060860,1569499146982
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569499147756,1569499233392,0.00,0.00,1569499147805,0.00,1569499147846,1569499233371
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569499234939,1569499320083,0.00,0.00,1569499234989,0.00,1569499235029,1569499320059
