# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Batchsize: List(50)
# Git commit: 7c4b6360469bacf2a112aeedbf60667a145ba812
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):7.70
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490401281,1569490465118,0.00,0.00,1569490401373,0.00,1569490401415,1569490465073
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490467686,1569490534076,0.00,0.00,1569490467745,0.00,1569490467786,1569490534046
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490537198,1569490600930,0.00,0.00,1569490537255,0.00,1569490537293,1569490600906
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490604169,1569490666398,0.00,0.00,1569490604221,0.00,1569490604257,1569490666373
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490668500,1569490731560,0.00,0.00,1569490668551,0.00,1569490668587,1569490731530
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490733617,1569490796392,0.00,0.00,1569490733667,0.00,1569490733703,1569490796365
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490799025,1569490861805,0.00,0.00,1569490799075,0.00,1569490799112,1569490861783
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490862970,1569490926545,0.00,0.00,1569490863015,0.00,1569490863048,1569490926524
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490927417,1569490990624,0.00,0.00,1569490927463,0.00,1569490927498,1569490990601
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1569490991601,1569491054618,0.00,0.00,1569490991648,0.00,1569490991691,1569491054598
