# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Git commit: fc585c74801cb3066cf0a31f16ba2715ff371d53
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15
# Materialization time (GraphWCOJ):8.50
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639120859,1568639205485,0.00,0.00,1568639120914,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639120958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639206886,1568639288305,0.00,0.00,1568639206937,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639206976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639288287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639289259,1568639379116,0.00,0.00,1568639289330,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639289386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639379081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639379919,1568639459263,0.00,0.00,1568639379976,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639380018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639459244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639460736,1568639546569,0.00,0.00,1568639460803,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639460859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639546532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639547989,1568639630043,0.00,0.00,1568639548039,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639548079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639630023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639630236,1568639708466,0.00,0.00,1568639630296,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639630342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639708435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639708848,1568639787516,0.00,0.00,1568639708901,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639708940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639787497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568639787632,1568639870130,0.00,0.00,1568639787692,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639787738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568639870099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
