# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Git commit: fc585c74801cb3066cf0a31f16ba2715ff371d53
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,WCOJTime-16,WCOJTime-17,WCOJTime-18,WCOJTime-19,WCOJTime-20,WCOJTime-21,WCOJTime-22,WCOJTime-23,WCOJTime-24,WCOJTime-25,WCOJTime-26,WCOJTime-27,WCOJTime-28,WCOJTime-29,WCOJTime-30,WCOJTime-31,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,Scheduled-16,Scheduled-17,Scheduled-18,Scheduled-19,Scheduled-20,Scheduled-21,Scheduled-22,Scheduled-23,Scheduled-24,Scheduled-25,Scheduled-26,Scheduled-27,Scheduled-28,Scheduled-29,Scheduled-30,Scheduled-31,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15,AlgoEnd-16,AlgoEnd-17,AlgoEnd-18,AlgoEnd-19,AlgoEnd-20,AlgoEnd-21,AlgoEnd-22,AlgoEnd-23,AlgoEnd-24,AlgoEnd-25,AlgoEnd-26,AlgoEnd-27,AlgoEnd-28,AlgoEnd-29,AlgoEnd-30,AlgoEnd-31
# Materialization time (GraphWCOJ):9.10
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642175954,1568642178648,0.00,0.00,1568642176008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642176057,1568642176057,1568642176056,1568642176059,1568642176058,1568642176056,1568642176059,1568642176058,1568642176057,1568642176056,1568642176059,1568642176059,1568642176059,1568642176056,1568642176056,1568642176060,1568642176060,1568642176061,1568642176061,1568642176060,1568642176057,1568642176060,1568642176058,1568642176061,1568642176059,1568642176059,1568642176058,1568642176057,1568642176058,1568642176059,1568642176059,1568642176059,1568642178544,1568642178545,1568642178554,1568642178545,1568642178545,1568642178545,1568642178545,1568642178545,1568642178544,1568642178545,1568642178549,1568642178583,1568642178619,1568642178544,1568642178544,1568642178545,1568642178545,1568642178545,1568642178545,1568642178545,1568642178545,1568642178544,1568642178545,1568642178545,1568642178544,1568642178545,1568642178545,1568642178544,1568642178545,1568642178544,1568642178544,1568642178545
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642179615,1568642182319,0.00,0.00,1568642179673,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642179720,1568642179723,1568642179720,1568642179736,1568642179737,1568642179720,1568642179724,1568642179723,1568642179736,1568642179736,1568642179722,1568642179723,1568642179722,1568642179723,1568642179721,1568642179736,1568642179720,1568642179724,1568642179725,1568642179720,1568642179725,1568642179746,1568642179720,1568642179721,1568642179720,1568642179720,1568642179721,1568642179720,1568642179720,1568642179720,1568642179720,1568642179720,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182221,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182292,1568642182216,1568642182226,1568642182216,1568642182216,1568642182216,1568642182216,1568642182216,1568642182254
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642183218,1568642185979,0.00,0.00,1568642183271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642183320,1568642183318,1568642183317,1568642183319,1568642183322,1568642183319,1568642183319,1568642183320,1568642183319,1568642183319,1568642183318,1568642183320,1568642183320,1568642183317,1568642183318,1568642183320,1568642183319,1568642183318,1568642183320,1568642183317,1568642183317,1568642183319,1568642183317,1568642183318,1568642183319,1568642183318,1568642183318,1568642183319,1568642183317,1568642183318,1568642183318,1568642183318,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185883,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185953,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185880,1568642185888,1568642185880,1568642185918,1568642185880,1568642185880,1568642185880,1568642185880
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642186902,1568642189768,0.00,0.00,1568642186952,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642187003,1568642187001,1568642187001,1568642187000,1568642187001,1568642187001,1568642187002,1568642187001,1568642187001,1568642187002,1568642187001,1568642187003,1568642187001,1568642187001,1568642187001,1568642187001,1568642187000,1568642187001,1568642187000,1568642187001,1568642187000,1568642187001,1568642187001,1568642187001,1568642187000,1568642187000,1568642187000,1568642187000,1568642187001,1568642187002,1568642187000,1568642187002,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189743,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189675,1568642189708,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189670,1568642189676
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642190799,1568642193557,0.00,0.00,1568642190854,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642190901,1568642190901,1568642190905,1568642190905,1568642190904,1568642190905,1568642190904,1568642190905,1568642190905,1568642190901,1568642190905,1568642190901,1568642190918,1568642190904,1568642190904,1568642190901,1568642190904,1568642190902,1568642190903,1568642190902,1568642190904,1568642190902,1568642190903,1568642190903,1568642190903,1568642190902,1568642190903,1568642190901,1568642190901,1568642190901,1568642190901,1568642190901,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193499,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193466,1568642193533,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193465,1568642193475,1568642193465
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642194531,1568642197245,0.00,0.00,1568642194581,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642194627,1568642194628,1568642194629,1568642194629,1568642194630,1568642194629,1568642194627,1568642194628,1568642194627,1568642194627,1568642194628,1568642194628,1568642194629,1568642194628,1568642194628,1568642194628,1568642194629,1568642194628,1568642194627,1568642194628,1568642194628,1568642194627,1568642194627,1568642194627,1568642194627,1568642194627,1568642194627,1568642194628,1568642194627,1568642194627,1568642194627,1568642194627,1568642197188,1568642197149,1568642197149,1568642197149,1568642197156,1568642197149,1568642197149,1568642197149,1568642197222,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197153,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149,1568642197149
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642198050,1568642200834,0.00,0.00,1568642198100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198158,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198157,1568642198158,1568642198157,1568642198158,1568642198158,1568642198158,1568642198160,1568642198158,1568642198159,1568642198159,1568642198157,1568642198159,1568642198159,1568642198159,1568642200741,1568642200741,1568642200741,1568642200744,1568642200778,1568642200811,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200747,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741,1568642200741
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642201609,1568642204362,0.00,0.00,1568642201686,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642201743,1568642201745,1568642201746,1568642201743,1568642201744,1568642201743,1568642201743,1568642201745,1568642201745,1568642201747,1568642201745,1568642201747,1568642201750,1568642201745,1568642201744,1568642201750,1568642201745,1568642201745,1568642201745,1568642201744,1568642201748,1568642201743,1568642201743,1568642201743,1568642201747,1568642201743,1568642201745,1568642201749,1568642201743,1568642201746,1568642201745,1568642201747,1568642204267,1568642204267,1568642204267,1568642204267,1568642204275,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204340,1568642204267,1568642204267,1568642204267,1568642204267,1568642204305,1568642204267,1568642204271,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267,1568642204267
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,32,00127.525.239,1568642205180,1568642207956,0.00,0.00,1568642205235,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1568642205289,1568642205289,1568642205292,1568642205289,1568642205290,1568642205290,1568642205292,1568642205290,1568642205290,1568642205289,1568642205289,1568642205293,1568642205290,1568642205289,1568642205292,1568642205292,1568642205290,1568642205290,1568642205292,1568642205290,1568642205290,1568642205289,1568642205290,1568642205290,1568642205289,1568642205289,1568642205290,1568642205290,1568642205289,1568642205289,1568642205290,1568642205289,1568642207861,1568642207861,1568642207861,1568642207935,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207870,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207899,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207865,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861,1568642207861
