# Dataset: LiveJournal2010 68993773 file:////export/scratch2/per/datasets/soc-LiveJournal1
# Repetitions: 10
# Git commit: fc585c74801cb3066cf0a31f16ba2715ff371d53
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7
# Materialization time (GraphWCOJ):8.19
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568706625355,1568706709523,0.00,0.00,1568706625405,0.00,0,0,0,0,0,0,0,1568706625444,0,0,0,0,0,0,0,1568706709498,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568706710757,1568706795041,0.00,0.00,1568706710803,0.00,0,0,0,0,0,0,0,1568706710840,0,0,0,0,0,0,0,1568706795017,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568706796041,1568706879432,0.00,0.00,1568706796088,0.00,0,0,0,0,0,0,0,1568706796127,0,0,0,0,0,0,0,1568706879408,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568706880228,1568706962185,0.00,0.00,1568706880275,0.00,0,0,0,0,0,0,0,1568706880314,0,0,0,0,0,0,0,1568706962167,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568706963214,1568707046634,0.00,0.00,1568706963261,0.00,0,0,0,0,0,0,0,1568706963298,0,0,0,0,0,0,0,1568707046615,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568707047197,1568707127933,0.00,0.00,1568707047243,0.00,0,0,0,0,0,0,0,1568707047278,0,0,0,0,0,0,0,1568707127914,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568707128049,1568707211351,0.00,0.00,1568707128094,0.00,0,0,0,0,0,0,0,1568707128132,0,0,0,0,0,0,0,1568707211331,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568707211508,1568707292425,0.00,0.00,1568707211554,0.00,0,0,0,0,0,0,0,1568707211592,0,0,0,0,0,0,0,1568707292409,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568707292542,1568707375662,0.00,0.00,1568707292589,0.00,0,0,0,0,0,0,0,1568707292628,0,0,0,0,0,0,0,1568707375645,0,0,0,0,0,0,0
3-clique,GraphWCOJ,AllTuples(),1,00127.525.239,1568707375798,1568707456904,0.00,0.00,1568707375844,0.00,0,0,0,0,0,0,0,1568707375883,0,0,0,0,0,0,0,1568707456886,0,0,0,0,0,0,0
