# Dataset: TwitterSnapEgo 1768135 file:////export/scratch2/per/datasets/snap-twitter-ego-combined
# Repetitions: 10
# Git commit: fc585c74801cb3066cf0a31f16ba2715ff371d53
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,WCOJTime-1,WCOJTime-2,WCOJTime-3,WCOJTime-4,WCOJTime-5,WCOJTime-6,WCOJTime-7,WCOJTime-8,WCOJTime-9,WCOJTime-10,WCOJTime-11,WCOJTime-12,WCOJTime-13,WCOJTime-14,WCOJTime-15,WCOJTime-16,WCOJTime-17,WCOJTime-18,WCOJTime-19,WCOJTime-20,WCOJTime-21,WCOJTime-22,WCOJTime-23,WCOJTime-24,WCOJTime-25,WCOJTime-26,WCOJTime-27,WCOJTime-28,WCOJTime-29,WCOJTime-30,WCOJTime-31,WCOJTime-32,WCOJTime-33,WCOJTime-34,WCOJTime-35,WCOJTime-36,WCOJTime-37,WCOJTime-38,WCOJTime-39,WCOJTime-40,WCOJTime-41,WCOJTime-42,WCOJTime-43,WCOJTime-44,WCOJTime-45,WCOJTime-46,WCOJTime-47,WCOJTime-48,WCOJTime-49,WCOJTime-50,WCOJTime-51,WCOJTime-52,WCOJTime-53,WCOJTime-54,WCOJTime-55,WCOJTime-56,WCOJTime-57,WCOJTime-58,WCOJTime-59,WCOJTime-60,WCOJTime-61,WCOJTime-62,WCOJTime-63,Scheduled-0,Scheduled-1,Scheduled-2,Scheduled-3,Scheduled-4,Scheduled-5,Scheduled-6,Scheduled-7,Scheduled-8,Scheduled-9,Scheduled-10,Scheduled-11,Scheduled-12,Scheduled-13,Scheduled-14,Scheduled-15,Scheduled-16,Scheduled-17,Scheduled-18,Scheduled-19,Scheduled-20,Scheduled-21,Scheduled-22,Scheduled-23,Scheduled-24,Scheduled-25,Scheduled-26,Scheduled-27,Scheduled-28,Scheduled-29,Scheduled-30,Scheduled-31,Scheduled-32,Scheduled-33,Scheduled-34,Scheduled-35,Scheduled-36,Scheduled-37,Scheduled-38,Scheduled-39,Scheduled-40,Scheduled-41,Scheduled-42,Scheduled-43,Scheduled-44,Scheduled-45,Scheduled-46,Scheduled-47,Scheduled-48,Scheduled-49,Scheduled-50,Scheduled-51,Scheduled-52,Scheduled-53,Scheduled-54,Scheduled-55,Scheduled-56,Scheduled-57,Scheduled-58,Scheduled-59,Scheduled-60,Scheduled-61,Scheduled-62,Scheduled-63,AlgoEnd-0,AlgoEnd-1,AlgoEnd-2,AlgoEnd-3,AlgoEnd-4,AlgoEnd-5,AlgoEnd-6,AlgoEnd-7,AlgoEnd-8,AlgoEnd-9,AlgoEnd-10,AlgoEnd-11,AlgoEnd-12,AlgoEnd-13,AlgoEnd-14,AlgoEnd-15,AlgoEnd-16,AlgoEnd-17,AlgoEnd-18,AlgoEnd-19,AlgoEnd-20,AlgoEnd-21,AlgoEnd-22,AlgoEnd-23,AlgoEnd-24,AlgoEnd-25,AlgoEnd-26,AlgoEnd-27,AlgoEnd-28,AlgoEnd-29,AlgoEnd-30,AlgoEnd-31,AlgoEnd-32,AlgoEnd-33,AlgoEnd-34,AlgoEnd-35,AlgoEnd-36,AlgoEnd-37,AlgoEnd-38,AlgoEnd-39,AlgoEnd-40,AlgoEnd-41,AlgoEnd-42,AlgoEnd-43,AlgoEnd-44,AlgoEnd-45,AlgoEnd-46,AlgoEnd-47,AlgoEnd-48,AlgoEnd-49,AlgoEnd-50,AlgoEnd-51,AlgoEnd-52,AlgoEnd-53,AlgoEnd-54,AlgoEnd-55,AlgoEnd-56,AlgoEnd-57,AlgoEnd-58,AlgoEnd-59,AlgoEnd-60,AlgoEnd-61,AlgoEnd-62,AlgoEnd-63
# Materialization time (GraphWCOJ):0.30
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242050054,1569242050251,0.00,0.00,1569242050105,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242050149,1569242050157,1569242050157,1569242050156,1569242050150,1569242050157,1569242050159,1569242050150,1569242050150,1569242050158,1569242050149,1569242050156,1569242050158,1569242050158,1569242050157,1569242050149,1569242050159,1569242050151,1569242050156,1569242050156,1569242050157,1569242050158,1569242050151,1569242050150,1569242050149,1569242050158,1569242050158,1569242050149,1569242050158,1569242050157,1569242050150,1569242050150,1569242050157,1569242050151,1569242050159,1569242050157,1569242050149,1569242050157,1569242050158,1569242050150,1569242050151,1569242050156,1569242050149,1569242050149,1569242050156,1569242050149,1569242050149,1569242050149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242050211,1569242050210,1569242050210,1569242050210,1569242050211,1569242050210,1569242050211,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050211,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050211,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050211,1569242050210,1569242050211,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,1569242050210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242050542,1569242050735,0.00,0.00,1569242050589,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242050633,1569242050642,1569242050642,1569242050641,1569242050639,1569242050634,1569242050634,1569242050633,1569242050641,1569242050639,1569242050641,1569242050633,1569242050634,1569242050640,1569242050634,1569242050634,1569242050633,1569242050640,1569242050642,1569242050641,1569242050639,1569242050634,1569242050639,1569242050634,1569242050634,1569242050633,1569242050635,1569242050634,1569242050634,1569242050641,1569242050634,1569242050641,1569242050640,1569242050633,1569242050635,1569242050641,1569242050642,1569242050642,1569242050642,1569242050639,1569242050633,1569242050639,1569242050640,1569242050639,1569242050641,1569242050634,1569242050635,1569242050635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242050693,1569242050693,1569242050693,1569242050693,1569242050693,1569242050692,1569242050692,1569242050692,1569242050692,1569242050693,1569242050692,1569242050693,1569242050692,1569242050692,1569242050692,1569242050692,1569242050693,1569242050693,1569242050692,1569242050692,1569242050693,1569242050692,1569242050692,1569242050692,1569242050692,1569242050692,1569242050693,1569242050693,1569242050692,1569242050693,1569242050692,1569242050692,1569242050692,1569242050693,1569242050692,1569242050693,1569242050692,1569242050693,1569242050693,1569242050692,1569242050692,1569242050693,1569242050693,1569242050692,1569242050693,1569242050693,1569242050693,1569242050693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242051007,1569242051211,0.00,0.00,1569242051060,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242051107,1569242051107,1569242051109,1569242051109,1569242051108,1569242051108,1569242051110,1569242051108,1569242051108,1569242051116,1569242051108,1569242051108,1569242051109,1569242051109,1569242051108,1569242051107,1569242051115,1569242051107,1569242051109,1569242051107,1569242051107,1569242051115,1569242051108,1569242051115,1569242051109,1569242051110,1569242051109,1569242051109,1569242051110,1569242051108,1569242051110,1569242051110,1569242051109,1569242051108,1569242051108,1569242051109,1569242051117,1569242051109,1569242051109,1569242051110,1569242051117,1569242051107,1569242051117,1569242051110,1569242051110,1569242051110,1569242051107,1569242051110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051167,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,1569242051166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242051535,1569242051747,0.00,0.00,1569242051592,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242051644,1569242051652,1569242051645,1569242051642,1569242051643,1569242051643,1569242051642,1569242051645,1569242051643,1569242051643,1569242051646,1569242051643,1569242051643,1569242051642,1569242051642,1569242051642,1569242051643,1569242051643,1569242051644,1569242051643,1569242051642,1569242051645,1569242051644,1569242051642,1569242051645,1569242051642,1569242051643,1569242051642,1569242051643,1569242051646,1569242051643,1569242051644,1569242051643,1569242051645,1569242051644,1569242051643,1569242051643,1569242051642,1569242051644,1569242051642,1569242051645,1569242051644,1569242051645,1569242051643,1569242051644,1569242051643,1569242051642,1569242051644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051701,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051700,1569242051701,1569242051701,1569242051700,1569242051701,1569242051701,1569242051700,1569242051700,1569242051700,1569242051700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242052052,1569242052247,0.00,0.00,1569242052103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242052146,1569242052147,1569242052155,1569242052146,1569242052156,1569242052156,1569242052153,1569242052147,1569242052153,1569242052155,1569242052155,1569242052156,1569242052156,1569242052152,1569242052146,1569242052155,1569242052147,1569242052148,1569242052146,1569242052154,1569242052154,1569242052147,1569242052147,1569242052147,1569242052148,1569242052148,1569242052153,1569242052147,1569242052147,1569242052155,1569242052155,1569242052154,1569242052156,1569242052155,1569242052147,1569242052147,1569242052156,1569242052146,1569242052154,1569242052155,1569242052147,1569242052156,1569242052154,1569242052155,1569242052154,1569242052154,1569242052155,1569242052155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052209,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052209,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052208,1569242052209,1569242052208,1569242052208,1569242052209,1569242052208,1569242052208,1569242052208,1569242052208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242052516,1569242052716,0.00,0.00,1569242052571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242052617,1569242052620,1569242052617,1569242052620,1569242052619,1569242052620,1569242052620,1569242052618,1569242052619,1569242052620,1569242052617,1569242052618,1569242052619,1569242052617,1569242052620,1569242052619,1569242052620,1569242052619,1569242052619,1569242052619,1569242052620,1569242052617,1569242052619,1569242052618,1569242052620,1569242052619,1569242052619,1569242052618,1569242052617,1569242052620,1569242052620,1569242052620,1569242052619,1569242052618,1569242052621,1569242052620,1569242052620,1569242052618,1569242052620,1569242052620,1569242052618,1569242052619,1569242052622,1569242052621,1569242052622,1569242052618,1569242052621,1569242052618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242052670,1569242052671,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052671,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052671,1569242052670,1569242052670,1569242052670,1569242052671,1569242052670,1569242052671,1569242052670,1569242052671,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,1569242052670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242052988,1569242053175,0.00,0.00,1569242053036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242053080,1569242053080,1569242053080,1569242053080,1569242053080,1569242053080,1569242053083,1569242053081,1569242053081,1569242053080,1569242053080,1569242053082,1569242053080,1569242053081,1569242053081,1569242053080,1569242053080,1569242053080,1569242053083,1569242053080,1569242053081,1569242053080,1569242053082,1569242053082,1569242053081,1569242053082,1569242053080,1569242053083,1569242053081,1569242053082,1569242053083,1569242053082,1569242053081,1569242053082,1569242053081,1569242053082,1569242053081,1569242053081,1569242053080,1569242053080,1569242053082,1569242053082,1569242053081,1569242053081,1569242053082,1569242053081,1569242053081,1569242053081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053132,1569242053131,1569242053131,1569242053131,1569242053132,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053132,1569242053131,1569242053131,1569242053131,1569242053132,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,1569242053131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242053444,1569242053638,0.00,0.00,1569242053490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242053543,1569242053543,1569242053541,1569242053543,1569242053541,1569242053543,1569242053543,1569242053542,1569242053543,1569242053540,1569242053541,1569242053543,1569242053540,1569242053544,1569242053544,1569242053541,1569242053541,1569242053542,1569242053543,1569242053543,1569242053542,1569242053542,1569242053541,1569242053542,1569242053541,1569242053543,1569242053542,1569242053541,1569242053542,1569242053541,1569242053541,1569242053540,1569242053540,1569242053540,1569242053541,1569242053540,1569242053545,1569242053540,1569242053540,1569242053543,1569242053544,1569242053545,1569242053543,1569242053545,1569242053544,1569242053544,1569242053544,1569242053544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053595,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,1569242053594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-clique,GraphWCOJ,FirstVariablePartitioningWithWorkstealing,48,00004.403.014,1569242053903,1569242054099,0.00,0.00,1569242053956,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242054010,1569242054010,1569242054002,1569242054001,1569242054002,1569242054009,1569242054010,1569242054008,1569242054001,1569242054008,1569242054010,1569242054002,1569242054007,1569242054002,1569242054007,1569242054007,1569242054001,1569242054008,1569242054010,1569242054002,1569242054010,1569242054001,1569242054002,1569242054002,1569242054002,1569242054008,1569242054009,1569242054001,1569242054002,1569242054008,1569242054001,1569242054009,1569242054002,1569242054009,1569242054009,1569242054002,1569242054009,1569242054009,1569242054010,1569242054007,1569242054007,1569242054009,1569242054007,1569242054007,1569242054002,1569242054010,1569242054009,1569242054008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569242054059,1569242054059,1569242054060,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,1569242054059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
