# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.10
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665547831,1571665551628,0.00,0.00,1571665547974,0.00,1571665548035,1571665551582
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665552077,1571665555490,0.00,0.00,1571665552162,0.00,1571665552209,1571665555449
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665555713,1571665559359,0.00,0.00,1571665555853,0.00,1571665555922,1571665559324
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665559516,1571665562872,0.00,0.00,1571665559575,0.00,1571665559619,1571665562832
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665563075,1571665566450,0.00,0.00,1571665563138,0.00,1571665563186,1571665566419
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665566621,1571665569990,0.00,0.00,1571665566676,0.00,1571665566721,1571665569949
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665570131,1571665573665,0.00,0.00,1571665570203,0.00,1571665570274,1571665573645
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665573816,1571665577156,0.00,0.00,1571665573868,0.00,1571665573924,1571665577129
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665577351,1571665580706,0.00,0.00,1571665577407,0.00,1571665577465,1571665580678
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571665580870,1571665584174,0.00,0.00,1571665580920,0.00,1571665580958,1571665584157
