# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: fc4ebbf6fb16bf633691df168b5ae5fdfb7d914f
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.09
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648329621,1571648332390,0.00,0.00,1571648329737,0.00,1571648329792,1571648332356
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648332633,1571648335398,0.00,0.00,1571648332714,0.00,1571648332769,1571648335356
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648335624,1571648338267,0.00,0.00,1571648335682,0.00,1571648335728,1571648338229
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648338467,1571648341323,0.00,0.00,1571648338556,0.00,1571648338623,1571648341297
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648341505,1571648344233,0.00,0.00,1571648341569,0.00,1571648341619,1571648344202
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648344400,1571648347207,0.00,0.00,1571648344458,0.00,1571648344504,1571648347175
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648347354,1571648350147,0.00,0.00,1571648347409,0.00,1571648347455,1571648350129
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648350280,1571648353076,0.00,0.00,1571648350334,0.00,1571648350383,1571648353052
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648353251,1571648356005,0.00,0.00,1571648353302,0.00,1571648353362,1571648355983
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571648356184,1571648359005,0.00,0.00,1571648356233,0.00,1571648356279,1571648358984
