# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664702958,1571664725471,0.00,0.32,1571664703993,0.00,1571664709457,1571664725418
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664726213,1571664746437,0.00,0.26,1571664726675,0.00,1571664730790,1571664746404
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664746694,1571664767612,0.00,0.58,1571664747403,0.00,1571664751382,1571664767584
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664768097,1571664787723,0.00,0.26,1571664768380,0.00,1571664771995,1571664787695
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664788149,1571664805890,0.00,0.31,1571664788446,0.00,1571664791191,1571664805862
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664806494,1571664823952,0.00,0.27,1571664806855,0.00,1571664809546,1571664823929
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664824372,1571664842268,0.00,0.28,1571664824646,0.00,1571664827716,1571664842245
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664842641,1571664861661,0.00,0.27,1571664842959,0.00,1571664846416,1571664861629
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664862023,1571664879756,0.00,0.58,1571664862280,0.00,1571664865277,1571664879725
5-clique,WCOJ,AllTuples(),1,000000040.137,1571664880683,1571664897783,0.00,0.26,1571664880945,0.00,1571664883575,1571664897760
