# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: fc4ebbf6fb16bf633691df168b5ae5fdfb7d914f
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655661681,1571655685586,0.00,0.64,1571655662457,0.00,1571655667445,1571655685533
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655686120,1571655709246,0.00,0.27,1571655686560,0.00,1571655691668,1571655709206
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655709586,1571655729761,0.00,0.47,1571655709905,0.00,1571655713862,1571655729721
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655730700,1571655750310,0.00,0.32,1571655731066,0.00,1571655734952,1571655750266
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655750707,1571655772974,0.00,1.04,1571655750998,0.00,1571655754435,1571655772945
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655773982,1571655793487,0.00,0.29,1571655774327,0.00,1571655777456,1571655793453
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655793833,1571655813425,0.00,0.36,1571655794109,0.00,1571655797265,1571655813395
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655813823,1571655833167,0.00,0.25,1571655814084,0.00,1571655816703,1571655833148
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655834170,1571655853201,0.00,0.25,1571655834421,0.00,1571655837043,1571655853172
5-clique,WCOJ,AllTuples(),1,000000040.137,1571655854087,1571655873279,0.00,0.26,1571655854342,0.00,1571655856959,1571655873251
