# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: fc4ebbf6fb16bf633691df168b5ae5fdfb7d914f
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658497125,1571658518027,0.00,0.31,1571658498018,0.00,1571658503581,1571658517954
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658518740,1571658537791,0.00,1.17,1571658519181,0.00,1571658524696,1571658537728
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658538079,1571658556093,0.00,0.28,1571658538442,0.00,1571658542235,1571658556059
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658557107,1571658576545,0.00,0.29,1571658557471,0.00,1571658561913,1571658576513
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658576710,1571658594893,0.00,0.26,1571658577044,0.00,1571658580979,1571658594859
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658595383,1571658611886,0.00,0.45,1571658595711,0.00,1571658598859,1571658611848
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658612866,1571658628960,0.00,0.26,1571658613230,0.00,1571658616170,1571658628929
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658629864,1571658646082,0.00,0.35,1571658630134,0.00,1571658633710,1571658646054
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658646788,1571658662495,0.00,0.25,1571658647066,0.00,1571658649692,1571658662454
5-clique,WCOJ,AllTuples(),1,000000040.137,1571658663602,1571658679852,0.00,0.26,1571658664126,0.00,1571658666922,1571658679824
