# Dataset: AmazonCoPurchase 1234877 file:///export/scratch2/per/datasets/amazon-0302
# Repetitions: 3
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.25
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571742032449,1571742032975,0.00,0.00,1571742032542,0.00,1571742032605,1571742032944
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571742033180,1571742033508,0.00,0.00,1571742033248,0.00,1571742033294,1571742033480
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571742033684,1571742034007,0.00,0.00,1571742033755,0.00,1571742033799,1571742033983
3-clique,WCOJ,AllTuples(),1,000000188.705,1571742034248,1571742038780,0.00,0.82,1571742034550,0.00,1571742037864,1571742038735
3-clique,WCOJ,AllTuples(),1,000000188.705,1571742039085,1571742043427,0.00,1.17,1571742039293,0.00,1571742042850,1571742043395
3-clique,WCOJ,AllTuples(),1,000000188.705,1571742044013,1571742046921,0.00,0.64,1571742044150,0.00,1571742046308,1571742046891
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571742047507,1571742047954,0.00,0.64,1571742047569,0.00,1571742047615,1571742047925
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571742048086,1571742048455,0.00,0.64,1571742048130,0.00,1571742048174,1571742048434
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571742048643,1571742049037,0.00,0.64,1571742048699,0.00,1571742048745,1571742049018
4-clique,WCOJ,AllTuples(),1,000000047.824,1571742049275,1571742056561,0.00,0.69,1571742049645,0.00,1571742054984,1571742056512
4-clique,WCOJ,AllTuples(),1,000000047.824,1571742057113,1571742064603,0.00,0.68,1571742057337,0.00,1571742062881,1571742064567
4-clique,WCOJ,AllTuples(),1,000000047.824,1571742064868,1571742071885,0.00,1.02,1571742065120,0.00,1571742070248,1571742071855
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571742072101,1571742072628,0.00,1.02,1571742072150,0.00,1571742072193,1571742072605
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571742072867,1571742073380,0.00,1.02,1571742072917,0.00,1571742072959,1571742073359
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571742073538,1571742074065,0.00,1.02,1571742073587,0.00,1571742073630,1571742074047
5-clique,WCOJ,AllTuples(),1,000000007.064,1571742074263,1571742088525,0.00,1.06,1571742074757,0.00,1571742084122,1571742088482
5-clique,WCOJ,AllTuples(),1,000000007.064,1571742088842,1571742101880,0.00,0.65,1571742089122,0.00,1571742098728,1571742101856
5-clique,WCOJ,AllTuples(),1,000000007.064,1571742102240,1571742114691,0.00,0.66,1571742102514,0.00,1571742111233,1571742114665
kite,GraphWCOJ,AllTuples(),1,000000220.637,1571742115288,1571742115882,0.00,0.66,1571742115333,0.00,1571742115369,1571742115864
