# Dataset: AmazonCoPurchase 3387388 file:///export/scratch2/per/datasets/amazon-0601
# Repetitions: 3
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.49
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571745975301,1571745976265,0.00,0.00,1571745975393,0.00,1571745975451,1571745976239
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571745976466,1571745977323,0.00,0.00,1571745976530,0.00,1571745976577,1571745977284
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571745977584,1571745978655,0.00,0.00,1571745977657,0.00,1571745977706,1571745978622
3-clique,WCOJ,AllTuples(),1,00001.137.579,1571745978954,1571745990635,0.00,2.20,1571745979298,0.00,1571745987919,1571745990593
3-clique,WCOJ,AllTuples(),1,00001.137.579,1571745991121,1571746000576,0.00,2.65,1571745991270,0.00,1571745998487,1571746000551
3-clique,WCOJ,AllTuples(),1,00001.137.579,1571746000782,1571746012378,0.00,1.87,1571746000951,0.00,1571746010549,1571746012351
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571746012705,1571746014465,0.00,1.87,1571746012753,0.00,1571746012795,1571746014440
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571746014653,1571746016458,0.00,1.87,1571746014704,0.00,1571746014750,1571746016439
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571746016669,1571746018454,0.00,1.87,1571746016725,0.00,1571746016771,1571746018435
4-clique,WCOJ,AllTuples(),1,000000911.548,1571746018712,1571746039898,0.00,1.80,1571746019086,0.00,1571746031568,1571746039862
4-clique,WCOJ,AllTuples(),1,000000911.548,1571746040518,1571746062449,0.00,1.77,1571746040777,0.00,1571746053188,1571746062412
4-clique,WCOJ,AllTuples(),1,000000911.548,1571746062799,1571746090551,0.00,2.69,1571746063040,0.00,1571746077928,1571746090519
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571746090949,1571746093320,0.00,2.69,1571746090989,0.00,1571746091027,1571746093301
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571746093568,1571746096051,0.00,2.69,1571746093616,0.00,1571746093655,1571746096035
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571746096290,1571746098885,0.00,2.69,1571746096351,0.00,1571746096401,1571746098863
5-clique,WCOJ,AllTuples(),1,000000585.171,1571746099199,1571746148422,0.00,1.87,1571746099739,0.00,1571746121511,1571746148372
5-clique,WCOJ,AllTuples(),1,000000585.171,1571746149026,1571746206605,0.00,2.45,1571746149387,0.00,1571746170849,1571746206559
5-clique,WCOJ,AllTuples(),1,000000585.171,1571746207031,1571746255857,0.00,2.52,1571746207380,0.00,1571746228752,1571746255823
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571746256796,1571746259120,0.00,2.52,1571746256847,0.00,1571746256885,1571746259102
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571746259320,1571746262127,0.00,2.52,1571746259359,0.00,1571746259391,1571746262107
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571746262394,1571746265338,0.00,2.52,1571746262447,0.00,1571746262485,1571746265321
kite,WCOJ,AllTuples(),1,00003.672.375,1571746265557,1571746295722,0.00,2.44,1571746265772,0.00,1571746288030,1571746295684
kite,WCOJ,AllTuples(),1,00003.672.375,1571746296212,1571746318936,0.00,2.33,1571746296366,0.00,1571746311730,1571746318913
kite,WCOJ,AllTuples(),1,00003.672.375,1571746319250,1571746344750,0.00,1.85,1571746319412,0.00,1571746336726,1571746344716
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571746345523,1571746363587,0.00,1.85,1571746345562,0.00,1571746345593,1571746363567
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571746363900,1571746381955,0.00,1.85,1571746363961,0.00,1571746364009,1571746381925
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571746382266,1571746399335,0.00,1.85,1571746382314,0.00,1571746382348,1571746399316
diamond,WCOJ,AllTuples(),1,00075.481.364,1571746399654,1571746445972,0.00,2.30,1571746399883,0.00,1571746409639,1571746445941
diamond,WCOJ,AllTuples(),1,00075.481.364,1571746446386,1571746489896,0.00,2.00,1571746446552,0.00,1571746455514,1571746489864
diamond,WCOJ,AllTuples(),1,00075.481.364,1571746490196,1571746532084,0.00,2.29,1571746490347,0.00,1571746498208,1571746532060
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571746532465,1571746568653,0.00,2.29,1571746532513,0.00,1571746532550,1571746568633
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571746568850,1571746605212,0.00,2.29,1571746568888,0.00,1571746568920,1571746605196
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571746605384,1571746640313,0.00,2.29,1571746605424,0.00,1571746605456,1571746640294
house,WCOJ,AllTuples(),1,00177.745.510,1571746640551,1571746752068,0.00,2.48,1571746640901,0.00,1571746658315,1571746752040
house,WCOJ,AllTuples(),1,00177.745.510,1571746752524,1571746857791,0.00,1.80,1571746752743,0.00,1571746769941,1571746857763
house,WCOJ,AllTuples(),1,00177.745.510,1571746858263,1571746955919,0.00,2.65,1571746858475,0.00,1571746875011,1571746955889
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571746956706,1571746971695,0.00,2.65,1571746956745,0.00,1571746956775,1571746971678
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571746971872,1571746986970,0.00,2.65,1571746971914,0.00,1571746971951,1571746986947
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571746987158,1571747002026,0.00,2.65,1571746987195,0.00,1571746987227,1571747002002
4-cycle,WCOJ,AllTuples(),1,00045.175.984,1571747002264,1571747039124,0.00,3.87,1571747002395,0.00,1571747012453,1571747039103
4-cycle,WCOJ,AllTuples(),1,00045.175.984,1571747039420,1571747073248,0.00,3.76,1571747039546,0.00,1571747049375,1571747073227
4-cycle,WCOJ,AllTuples(),1,00045.175.984,1571747073499,1571747107647,0.00,3.96,1571747073621,0.00,1571747083180,1571747107620
