# Dataset: AmazonCoPurchase 1234877 file:///export/scratch2/per/datasets/amazon-0302
# Repetitions: 3
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.23
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571834178996,1571834179726,0.00,0.00,1571834179114,0.00,1571834179180,1571834179694
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571834179975,1571834180384,0.00,0.00,1571834180054,0.00,1571834180107,1571834180357
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571834180598,1571834180996,0.00,0.00,1571834180673,0.00,1571834180725,1571834180970
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571834181714,1571834182204,0.00,0.00,1571834181797,0.00,1571834181847,1571834182179
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571834182342,1571834182729,0.00,0.00,1571834182410,0.00,1571834182451,1571834182705
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571834182879,1571834183248,0.00,0.00,1571834182934,0.00,1571834182972,1571834183229
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571834183409,1571834183883,0.00,0.00,1571834183470,0.00,1571834183516,1571834183852
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571834184088,1571834184602,0.00,0.00,1571834184149,0.00,1571834184199,1571834184576
5-clique,GraphWCOJ,AllTuples(),1,000000007.064,1571834184769,1571834185269,0.00,0.00,1571834184822,0.00,1571834184872,1571834185248
kite,GraphWCOJ,AllTuples(),1,000000220.637,1571834185778,1571834186404,0.00,0.00,1571834185835,0.00,1571834185882,1571834186378
kite,GraphWCOJ,AllTuples(),1,000000220.637,1571834186558,1571834187132,0.00,0.00,1571834186609,0.00,1571834186659,1571834187109
kite,GraphWCOJ,AllTuples(),1,000000220.637,1571834187318,1571834187864,0.00,0.00,1571834187373,0.00,1571834187419,1571834187837
house,GraphWCOJ,AllTuples(),1,00002.941.664,1571834188070,1571834190174,0.00,0.00,1571834188123,0.00,1571834188170,1571834190153
house,GraphWCOJ,AllTuples(),1,00002.941.664,1571834190328,1571834192108,0.00,0.00,1571834190373,0.00,1571834190408,1571834192086
house,GraphWCOJ,AllTuples(),1,00002.941.664,1571834192236,1571834194248,0.00,0.00,1571834192288,0.00,1571834192331,1571834194230
diamond,GraphWCOJ,AllTuples(),1,00005.045.822,1571834194396,1571834196406,0.00,0.00,1571834194449,0.00,1571834194494,1571834196384
diamond,GraphWCOJ,AllTuples(),1,00005.045.822,1571834196532,1571834198489,0.00,0.00,1571834196585,0.00,1571834196630,1571834198467
diamond,GraphWCOJ,AllTuples(),1,00005.045.822,1571834198628,1571834200300,0.00,0.00,1571834198673,0.00,1571834198712,1571834200281
4-cycle,GraphWCOJ,AllTuples(),1,00003.076.324,1571834200468,1571834202239,0.00,0.00,1571834200514,0.00,1571834200559,1571834202223
4-cycle,GraphWCOJ,AllTuples(),1,00003.076.324,1571834202368,1571834204114,0.00,0.00,1571834202418,0.00,1571834202461,1571834204096
4-cycle,GraphWCOJ,AllTuples(),1,00003.076.324,1571834204244,1571834206006,0.00,0.00,1571834204298,0.00,1571834204338,1571834205986
