# Dataset: AmazonCoPurchase 1234877 file:///export/scratch2/per/datasets/amazon-0302
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.26
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822920541,1571822920949,0.00,0.00,1571822920632,0.00,1571822920689,1571822920925
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822921165,1571822921501,0.00,0.00,1571822921228,0.00,1571822921271,1571822921480
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822921666,1571822921980,0.00,0.00,1571822921725,0.00,1571822921765,1571822921959
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822922119,1571822922427,0.00,0.00,1571822922170,0.00,1571822922212,1571822922408
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822922573,1571822922928,0.00,0.00,1571822922630,0.00,1571822922674,1571822922907
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822923072,1571822923445,0.00,0.00,1571822923131,0.00,1571822923176,1571822923425
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822923558,1571822923958,0.00,0.00,1571822923614,0.00,1571822923660,1571822923933
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822924135,1571822924511,0.00,0.00,1571822924191,0.00,1571822924236,1571822924485
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822924657,1571822925013,0.00,0.00,1571822924713,0.00,1571822924754,1571822924993
3-clique,GraphWCOJ,AllTuples(),1,000000188.705,1571822925202,1571822925543,0.00,0.00,1571822925251,0.00,1571822925290,1571822925521
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571822925767,1571822926220,0.00,0.00,1571822925818,0.00,1571822925859,1571822926201
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571822926389,1571822926895,0.00,0.00,1571822926439,0.00,1571822926479,1571822926877
4-clique,GraphWCOJ,AllTuples(),1,000000047.824,1571822927072,1571822927509,0.00,0.00,1571822927120,0.00,1571822927162,1571822927491
