# Dataset: AmazonCoPurchase 3387388 file:///export/scratch2/per/datasets/amazon-0601
# Repetitions: 3
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.47
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571836336459,1571836337490,0.00,0.00,1571836336594,0.00,1571836336678,1571836337458
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571836337750,1571836338786,0.00,0.00,1571836337825,0.00,1571836337884,1571836338754
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571836339019,1571836340086,0.00,0.00,1571836339148,0.00,1571836339218,1571836340049
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571836340444,1571836342527,0.00,0.00,1571836340597,0.00,1571836340695,1571836342490
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571836342728,1571836344448,0.00,0.00,1571836342808,0.00,1571836342886,1571836344413
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571836344647,1571836346317,0.00,0.00,1571836344705,0.00,1571836344756,1571836346285
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571836346457,1571836348893,0.00,0.00,1571836346517,0.00,1571836346564,1571836348852
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571836349141,1571836351544,0.00,0.00,1571836349201,0.00,1571836349254,1571836351505
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571836351757,1571836354152,0.00,0.00,1571836351811,0.00,1571836351858,1571836354126
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571836354758,1571836357973,0.00,0.00,1571836354900,0.00,1571836354961,1571836357938
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571836358150,1571836361098,0.00,0.00,1571836358210,0.00,1571836358272,1571836361069
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571836361338,1571836364313,0.00,0.00,1571836361412,0.00,1571836361458,1571836364279
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571836364572,1571836406308,0.00,0.00,1571836364626,0.00,1571836364680,1571836406274
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571836407189,1571836445802,0.00,0.00,1571836407237,0.00,1571836407273,1571836445775
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571836446114,1571836484652,0.00,0.00,1571836446165,0.00,1571836446205,1571836484625
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571836485026,1571836501870,0.00,0.00,1571836485072,0.00,1571836485109,1571836501850
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571836502129,1571836519038,0.00,0.00,1571836502179,0.00,1571836502221,1571836518963
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571836519316,1571836535491,0.00,0.00,1571836519363,0.00,1571836519400,1571836535470
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571836535748,1571836548866,0.00,0.00,1571836535794,0.00,1571836535834,1571836548847
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571836549121,1571836562247,0.00,0.00,1571836549167,0.00,1571836549204,1571836562220
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571836562501,1571836575803,0.00,0.00,1571836562544,0.00,1571836562577,1571836575779
