# Dataset: AmazonCoPurchase 3387388 file:///export/scratch2/per/datasets/amazon-0601
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.41
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823416972,1571823417929,0.00,0.00,1571823417049,0.00,1571823417099,1571823417905
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823418158,1571823419071,0.00,0.00,1571823418216,0.00,1571823418261,1571823419045
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823419289,1571823420234,0.00,0.00,1571823419370,0.00,1571823419422,1571823420195
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823420805,1571823421626,0.00,0.00,1571823420857,0.00,1571823420897,1571823421603
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823421788,1571823422599,0.00,0.00,1571823421843,0.00,1571823421883,1571823422579
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823423201,1571823424064,0.00,0.00,1571823423257,0.00,1571823423301,1571823424041
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823424185,1571823425033,0.00,0.00,1571823424236,0.00,1571823424279,1571823425010
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823425242,1571823426141,0.00,0.00,1571823425289,0.00,1571823425329,1571823426115
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823426332,1571823427397,0.00,0.00,1571823426394,0.00,1571823426442,1571823427377
3-clique,GraphWCOJ,AllTuples(),1,00001.137.579,1571823427630,1571823428672,0.00,0.00,1571823427681,0.00,1571823427724,1571823428651
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823428939,1571823430710,0.00,0.00,1571823428991,0.00,1571823429034,1571823430690
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823430913,1571823432652,0.00,0.00,1571823430961,0.00,1571823431005,1571823432633
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823432840,1571823434650,0.00,0.00,1571823432891,0.00,1571823432939,1571823434631
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823434828,1571823436450,0.00,0.00,1571823434869,0.00,1571823434906,1571823436431
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823436581,1571823438383,0.00,0.00,1571823436639,0.00,1571823436682,1571823438362
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823438535,1571823440338,0.00,0.00,1571823438585,0.00,1571823438628,1571823440320
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823440475,1571823442106,0.00,0.00,1571823440518,0.00,1571823440556,1571823442083
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823442241,1571823444041,0.00,0.00,1571823442288,0.00,1571823442332,1571823444022
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823444177,1571823445974,0.00,0.00,1571823444225,0.00,1571823444276,1571823445956
4-clique,GraphWCOJ,AllTuples(),1,000000911.548,1571823446102,1571823447878,0.00,0.00,1571823446148,0.00,1571823446192,1571823447860
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823448025,1571823450618,0.00,0.00,1571823448075,0.00,1571823448115,1571823450601
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823450836,1571823453305,0.00,0.00,1571823450898,0.00,1571823450938,1571823453289
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823453442,1571823455788,0.00,0.00,1571823453488,0.00,1571823453524,1571823455771
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823455935,1571823458283,0.00,0.00,1571823455977,0.00,1571823456013,1571823458266
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823458419,1571823460813,0.00,0.00,1571823458467,0.00,1571823458504,1571823460797
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823460946,1571823463361,0.00,0.00,1571823460995,0.00,1571823461031,1571823463340
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823463499,1571823465916,0.00,0.00,1571823463571,0.00,1571823463612,1571823465896
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823466061,1571823468448,0.00,0.00,1571823466120,0.00,1571823466165,1571823468428
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823468749,1571823471160,0.00,0.00,1571823468794,0.00,1571823468833,1571823471143
5-clique,GraphWCOJ,AllTuples(),1,000000585.171,1571823471471,1571823473813,0.00,0.00,1571823471511,0.00,1571823471546,1571823473795
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823474309,1571823477212,0.00,0.00,1571823474353,0.00,1571823474388,1571823477193
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823477484,1571823480034,0.00,0.00,1571823477525,0.00,1571823477561,1571823480017
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823480331,1571823482851,0.00,0.00,1571823480373,0.00,1571823480406,1571823482834
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823483122,1571823485498,0.00,0.00,1571823483173,0.00,1571823483210,1571823485476
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823486014,1571823488068,0.00,0.00,1571823486053,0.00,1571823486084,1571823488053
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823488323,1571823490576,0.00,0.00,1571823488364,0.00,1571823488397,1571823490561
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823490821,1571823493061,0.00,0.00,1571823490862,0.00,1571823490896,1571823493045
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823493325,1571823495589,0.00,0.00,1571823493364,0.00,1571823493396,1571823495573
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823495854,1571823498315,0.00,0.00,1571823495906,0.00,1571823495949,1571823498296
kite,GraphWCOJ,AllTuples(),1,00003.672.375,1571823498580,1571823500869,0.00,0.00,1571823498625,0.00,1571823498665,1571823500851
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823501123,1571823539064,0.00,0.00,1571823501161,0.00,1571823501198,1571823539043
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823539375,1571823575371,0.00,0.00,1571823539414,0.00,1571823539449,1571823575346
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823575739,1571823611879,0.00,0.00,1571823575775,0.00,1571823575805,1571823611860
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823612150,1571823648294,0.00,0.00,1571823612190,0.00,1571823612221,1571823648279
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823648559,1571823685013,0.00,0.00,1571823648597,0.00,1571823648628,1571823684987
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823685558,1571823722975,0.00,0.00,1571823685607,0.00,1571823685644,1571823722947
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823723309,1571823760140,0.00,0.00,1571823723350,0.00,1571823723382,1571823760116
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823760466,1571823796601,0.00,0.00,1571823760511,0.00,1571823760545,1571823796575
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823796945,1571823833685,0.00,0.00,1571823796987,0.00,1571823797024,1571823833665
house,GraphWCOJ,AllTuples(),1,00177.745.510,1571823833948,1571823868904,0.00,0.00,1571823833990,0.00,1571823834027,1571823868885
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823869162,1571823885333,0.00,0.00,1571823869207,0.00,1571823869241,1571823885301
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823885604,1571823901887,0.00,0.00,1571823885656,0.00,1571823885698,1571823901845
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823902100,1571823917324,0.00,0.00,1571823902151,0.00,1571823902192,1571823917305
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823917493,1571823933883,0.00,0.00,1571823917542,0.00,1571823917581,1571823933863
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823934069,1571823948954,0.00,0.00,1571823934112,0.00,1571823934148,1571823948934
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823949215,1571823964574,0.00,0.00,1571823949265,0.00,1571823949302,1571823964560
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823964721,1571823980786,0.00,0.00,1571823964763,0.00,1571823964793,1571823980765
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823980984,1571823995927,0.00,0.00,1571823981031,0.00,1571823981064,1571823995906
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571823996243,1571824011311,0.00,0.00,1571823996298,0.00,1571823996335,1571824011297
diamond,GraphWCOJ,AllTuples(),1,00075.481.364,1571824011461,1571824026880,0.00,0.00,1571824011507,0.00,1571824011539,1571824026867
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824027047,1571824038814,0.00,0.00,1571824027091,0.00,1571824027126,1571824038791
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824038989,1571824050356,0.00,0.00,1571824039032,0.00,1571824039066,1571824050342
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824050527,1571824061890,0.00,0.00,1571824050571,0.00,1571824050602,1571824061877
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824062055,1571824073422,0.00,0.00,1571824062093,0.00,1571824062124,1571824073407
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824073599,1571824085084,0.00,0.00,1571824073640,0.00,1571824073670,1571824085067
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824085266,1571824096667,0.00,0.00,1571824085304,0.00,1571824085338,1571824096653
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824096831,1571824108527,0.00,0.00,1571824096879,0.00,1571824096916,1571824108514
4-cycle,GraphWCOJ,AllTuples(),1,00045.175.984,1571824108680,1571824120626,0.00,0.00,1571824108723,0.00,1571824108756,1571824120612
