# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.10
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825462803,1571825463607,0.00,0.00,1571825462912,0.00,1571825462966,1571825463564
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825463859,1571825464565,0.00,0.00,1571825463919,0.00,1571825463972,1571825464539
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825464762,1571825465602,0.00,0.00,1571825464832,0.00,1571825464887,1571825465572
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825465767,1571825466574,0.00,0.00,1571825465823,0.00,1571825465874,1571825466547
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825466748,1571825467548,0.00,0.00,1571825466801,0.00,1571825466851,1571825467525
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825467719,1571825468546,0.00,0.00,1571825467782,0.00,1571825467839,1571825468514
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825468723,1571825469543,0.00,0.00,1571825468775,0.00,1571825468818,1571825469513
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825469682,1571825470541,0.00,0.00,1571825469759,0.00,1571825469816,1571825470514
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825470742,1571825471559,0.00,0.00,1571825470797,0.00,1571825470845,1571825471530
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571825471747,1571825472548,0.00,0.00,1571825471809,0.00,1571825471855,1571825472525
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825472781,1571825475459,0.00,0.00,1571825472835,0.00,1571825472882,1571825475436
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825475639,1571825478341,0.00,0.00,1571825475693,0.00,1571825475739,1571825478309
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825478511,1571825481237,0.00,0.00,1571825478553,0.00,1571825478594,1571825481210
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825481387,1571825484098,0.00,0.00,1571825481436,0.00,1571825481481,1571825484074
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825484228,1571825486903,0.00,0.00,1571825484285,0.00,1571825484329,1571825486883
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825487045,1571825489719,0.00,0.00,1571825487091,0.00,1571825487133,1571825489695
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825489855,1571825492302,0.00,0.00,1571825489903,0.00,1571825489948,1571825492280
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825492452,1571825494891,0.00,0.00,1571825492498,0.00,1571825492544,1571825494866
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825495039,1571825497490,0.00,0.00,1571825495086,0.00,1571825495140,1571825497471
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571825497626,1571825500085,0.00,0.00,1571825497672,0.00,1571825497718,1571825500059
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571825500230,1571825503950,0.00,0.00,1571825500282,0.00,1571825500325,1571825503919
5-clique,GraphWCOJ,AllTuples(),1,000000040.137,1571825504363,1571825508086,0.00,0.00,1571825504423,0.00,1571825504465,1571825508061
