# Dataset: TwitterSnapEgo 1768135 file:////export/scratch2/per/datasets/snap-twitter-ego-combined
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds3.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.27
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831259247,1571831261208,0.00,0.00,1571831259350,0.00,1571831259399,1571831261179
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831261665,1571831263819,0.00,0.00,1571831261742,0.00,1571831261795,1571831263779
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831264044,1571831266156,0.00,0.00,1571831264122,0.00,1571831264180,1571831266114
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831266471,1571831268376,0.00,0.00,1571831266528,0.00,1571831266574,1571831268342
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831268583,1571831270811,0.00,0.00,1571831268711,0.00,1571831268795,1571831270781
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831270984,1571831273084,0.00,0.00,1571831271044,0.00,1571831271113,1571831273058
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831273217,1571831275293,0.00,0.00,1571831273274,0.00,1571831273319,1571831275263
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831275436,1571831277505,0.00,0.00,1571831275491,0.00,1571831275541,1571831277477
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831277699,1571831279758,0.00,0.00,1571831277754,0.00,1571831277801,1571831279734
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571831279998,1571831282192,0.00,0.00,1571831280117,0.00,1571831280186,1571831282168
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831282465,1571831300702,0.00,0.00,1571831282536,0.00,1571831282587,1571831300670
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831300888,1571831318563,0.00,0.00,1571831300941,0.00,1571831300978,1571831318532
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831318814,1571831336906,0.00,0.00,1571831318878,0.00,1571831318929,1571831336888
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831337157,1571831355047,0.00,0.00,1571831337210,0.00,1571831337251,1571831355019
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831355309,1571831373139,0.00,0.00,1571831355366,0.00,1571831355406,1571831373112
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831373395,1571831391488,0.00,0.00,1571831373436,0.00,1571831373472,1571831391464
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831391741,1571831409859,0.00,0.00,1571831391822,0.00,1571831391871,1571831409831
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831410138,1571831427690,0.00,0.00,1571831410180,0.00,1571831410212,1571831427674
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831427919,1571831446381,0.00,0.00,1571831427992,0.00,1571831428043,1571831446351
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571831446685,1571831464312,0.00,0.00,1571831446732,0.00,1571831446766,1571831464291
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571831464523,1571831583526,0.00,0.00,1571831464611,0.00,1571831464655,1571831583505
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571831583812,1571831702886,0.00,0.00,1571831583861,0.00,1571831583899,1571831702868
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571831703100,1571831819287,0.00,0.00,1571831703141,0.00,1571831703172,1571831819268
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571831819502,1571831937418,0.00,0.00,1571831819543,0.00,1571831819572,1571831937403
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571831937563,1571832054679,0.00,0.00,1571831937609,0.00,1571831937643,1571832054659
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571832054837,1571832171716,0.00,0.00,1571832054878,0.00,1571832054910,1571832171698
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571832171845,1571832288791,0.00,0.00,1571832171892,0.00,1571832171927,1571832288774
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571832288908,1571832406042,0.00,0.00,1571832288954,0.00,1571832288989,1571832406027
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571832406161,1571832522801,0.00,0.00,1571832406207,0.00,1571832406243,1571832522784
5-clique,GraphWCOJ,AllTuples(),1,00071.813.452,1571832522917,1571832639612,0.00,0.00,1571832522968,0.00,1571832523002,1571832639594
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832639971,1571832657704,0.00,0.00,1571832640018,0.00,1571832640053,1571832657690
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832657831,1571832675089,0.00,0.00,1571832657874,0.00,1571832657908,1571832675074
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832675256,1571832692557,0.00,0.00,1571832675300,0.00,1571832675337,1571832692543
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832692697,1571832709945,0.00,0.00,1571832692743,0.00,1571832692777,1571832709931
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832710085,1571832727262,0.00,0.00,1571832710130,0.00,1571832710166,1571832727249
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832727396,1571832744605,0.00,0.00,1571832727439,0.00,1571832727474,1571832744592
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832744744,1571832761963,0.00,0.00,1571832744789,0.00,1571832744823,1571832761944
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832762113,1571832779463,0.00,0.00,1571832762155,0.00,1571832762191,1571832779447
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832779607,1571832796971,0.00,0.00,1571832779650,0.00,1571832779684,1571832796958
kite,GraphWCOJ,AllTuples(),1,00054.901.128,1571832797100,1571832814540,0.00,0.00,1571832797145,0.00,1571832797183,1571832814527
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571832814679,1571837312771,0.00,0.00,1571832814722,0.00,1571832814756,1571837312748
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571837313278,1571841787369,0.00,0.00,1571837313316,0.00,1571837313344,1571841787346
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571841787489,1571846303116,0.00,0.00,1571841787526,0.00,1571841787555,1571846303093
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571846303235,1571850803501,0.00,0.00,1571846303271,0.00,1571846303298,1571850803479
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571850803642,1571855263643,0.00,0.00,1571850803686,0.00,1571850803720,1571855263621
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571855263857,1571859720642,0.00,0.00,1571855263912,0.00,1571855263955,1571859720620
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571859720753,1571864249206,0.00,0.00,1571859720794,0.00,1571859720822,1571864249185
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571864249330,1571868708579,0.00,0.00,1571864249375,0.00,1571864249410,1571868708556
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571868708702,1571873190744,0.00,0.00,1571868708743,0.00,1571868708775,1571873190722
house,GraphWCOJ,AllTuples(),1,29.843.891.589,1571873190936,1571877652042,0.00,0.00,1571873190980,0.00,1571873191016,1571877652020
