# Dataset: AmazonCoPurchase 1234877 file:///export/scratch2/per/datasets/amazon-0302
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842195586,1571842198928,0.00,0.12,1571842196573,0.00,1571842198789,1571842198881
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842199289,1571842200831,0.00,0.09,1571842199686,0.00,1571842200783,1571842200801
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842201104,1571842202600,0.00,0.17,1571842201489,0.00,1571842202553,1571842202566
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842202830,1571842204226,0.00,0.07,1571842203172,0.00,1571842204185,1571842204197
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842204427,1571842205792,0.00,0.07,1571842204760,0.00,1571842205755,1571842205765
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842205992,1571842207375,0.00,0.07,1571842206353,0.00,1571842207340,1571842207351
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842207549,1571842208959,0.00,0.08,1571842207908,0.00,1571842208923,1571842208935
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842209136,1571842210369,0.00,0.07,1571842209469,0.00,1571842210338,1571842210349
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842210543,1571842211911,0.00,0.07,1571842210875,0.00,1571842211877,1571842211887
3-0.00-path,WCOJ,AllTuples(),1,000000002.092,1571842212110,1571842213728,0.00,0.07,1571842212495,0.00,1571842213697,1571842213707
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842214070,1571842216614,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842217311,1571842218511,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842218954,1571842220085,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842220357,1571842221503,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842221723,1571842223083,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842223491,1571842224857,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842225201,1571842226515,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842226883,1571842228221,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000002.092,1571842228552,1571842229873,0.00,0.00,0,0.00,0,0
