# Dataset: AmazonCoPurchase 3387388 file:///export/scratch2/per/datasets/amazon-0601
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Disabled
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843235302,1571843240343,0.00,0.30,1571843236120,0.00,1571843239991,1571843240303
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843240811,1571843245295,0.00,0.27,1571843241280,0.00,1571843245167,1571843245259
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843245576,1571843249417,0.00,0.26,1571843246024,0.00,1571843249307,1571843249395
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843249728,1571843253723,0.00,0.40,1571843250077,0.00,1571843253630,1571843253702
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843253958,1571843257062,0.00,0.34,1571843254340,0.00,1571843256946,1571843257040
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843257327,1571843260438,0.00,0.30,1571843257695,0.00,1571843260341,1571843260414
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843260627,1571843263739,0.00,0.24,1571843261027,0.00,1571843263613,1571843263708
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843264020,1571843267061,0.00,0.21,1571843264402,0.00,1571843266962,1571843267034
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843267238,1571843270249,0.00,0.21,1571843267608,0.00,1571843270147,1571843270221
3-0.00-path,WCOJ,AllTuples(),1,000000098.929,1571843270460,1571843273506,0.00,0.20,1571843270838,0.00,1571843273410,1571843273482
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843273835,1571843276958,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843277492,1571843279911,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843280924,1571843283170,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843283618,1571843286127,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843286629,1571843288770,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843289216,1571843291750,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843292537,1571843295330,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843295750,1571843298492,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843299126,1571843301596,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,000000098.929,1571843301976,1571843304523,0.00,0.00,0,0.00,0,0
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843305314,1571843312281,0.00,0.24,1571843305655,0.00,1571843311712,1571843312262
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843312573,1571843317922,0.00,0.29,1571843312987,0.00,1571843317338,1571843317895
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843318236,1571843323175,0.00,0.22,1571843318569,0.00,1571843322644,1571843323153
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843323473,1571843328571,0.00,0.22,1571843323799,0.00,1571843328032,1571843328548
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843328950,1571843333763,0.00,0.22,1571843329239,0.00,1571843333237,1571843333744
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843334054,1571843339459,0.00,0.22,1571843334574,0.00,1571843338936,1571843339440
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843339720,1571843345209,0.00,0.22,1571843340126,0.00,1571843344694,1571843345188
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843345476,1571843350631,0.00,0.22,1571843345838,0.00,1571843350100,1571843350613
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843350921,1571843357251,0.00,0.35,1571843351312,0.00,1571843356701,1571843357233
4-0.00-path,WCOJ,AllTuples(),1,000000922.888,1571843357541,1571843362547,0.00,0.20,1571843357936,0.00,1571843362052,1571843362524
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843362898,1571843369457,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843369952,1571843376064,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843376542,1571843382368,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843382797,1571843388347,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843388830,1571843394689,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843395101,1571843400961,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843401347,1571843407689,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843408105,1571843414027,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843414491,1571843419725,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,000000922.888,1571843420159,1571843425204,0.00,0.00,0,0.00,0,0
