# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 8
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845275692,1571845284678,0.00,0.27,1571845276367,0.00,1571845277412,1571845284639
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845285260,1571845294280,0.00,0.16,1571845285589,0.00,1571845286286,1571845294249
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845294546,1571845302198,0.00,0.08,1571845294835,0.00,1571845295324,1571845302173
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845302420,1571845310942,0.00,0.08,1571845302811,0.00,1571845303466,1571845310921
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845311215,1571845320054,0.00,0.08,1571845311517,0.00,1571845312001,1571845320035
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845320379,1571845330264,0.00,0.08,1571845320653,0.00,1571845321129,1571845330243
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845330521,1571845338456,0.00,0.09,1571845330839,0.00,1571845331402,1571845338423
3-0.00-path,WCOJ,AllTuples(),1,00065.764.936,1571845338688,1571845346112,0.00,0.09,1571845339004,0.00,1571845339574,1571845346055
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845346603,1571845348816,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845349156,1571845350921,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845351313,1571845352812,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845353112,1571845354833,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845355094,1571845356909,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845357215,1571845358971,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845359252,1571845361100,0.00,0.00,0,0.00,0,0
3-0.00-path,BroadcastHashJoin,Spark,1,00065.764.936,1571845361404,1571845363451,0.00,0.00,0,0.00,0,0
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571845363904,1571846170062,0.00,0.18,1571845364249,0.00,1571845365395,1571846170026
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571846170639,1571846896348,0.00,0.59,1571846170913,0.00,1571846172162,1571846896298
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571846896601,1571847634785,0.00,0.08,1571846896834,0.00,1571846897897,1571847634758
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571847634926,1571848391249,0.00,0.09,1571847635224,0.00,1571847636075,1571848391224
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571848391484,1571849128611,0.00,0.09,1571848391728,0.00,1571848392707,1571849128588
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571849128811,1571849876826,0.00,0.08,1571849129033,0.00,1571849129749,1571849876804
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571849877012,1571850608548,0.00,0.08,1571849877295,0.00,1571849878335,1571850608527
4-0.00-path,WCOJ,AllTuples(),1,7.287.641.178,1571850608855,1571851335523,0.00,0.08,1571850609120,0.00,1571850610259,1571851335499
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851335774,1571851442496,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851442808,1571851547602,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851547780,1571851651793,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851651953,1571851755869,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851756119,1571851860036,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851860195,1571851964691,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571851964861,1571852069204,0.00,0.00,0,0.00,0,0
4-0.00-path,BroadcastHashJoin,Spark,1,7.287.641.178,1571852069365,1571852175160,0.00,0.00,0,0.00,0,0
