# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 8
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only WCOJ, run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.10
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735172575,1571735173576,0.00,0.00,1571735172714,0.00,1571735172803,1571735173541
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735173842,1571735174737,0.00,0.00,1571735173942,0.00,1571735174002,1571735174692
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735175049,1571735175931,0.00,0.00,1571735175143,0.00,1571735175199,1571735175896
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735176149,1571735177062,0.00,0.00,1571735176241,0.00,1571735176306,1571735177032
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735177244,1571735177967,0.00,0.00,1571735177310,0.00,1571735177362,1571735177942
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735178171,1571735179006,0.00,0.00,1571735178234,0.00,1571735178287,1571735178970
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735179194,1571735180017,0.00,0.00,1571735179255,0.00,1571735179310,1571735179990
3-clique,GraphWCOJ,AllTuples(),1,000000540.225,1571735180180,1571735181008,0.00,0.00,1571735180244,0.00,1571735180296,1571735180976
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735181365,1571735186037,0.00,0.75,1571735181745,0.00,1571735185013,1571735185995
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735186385,1571735188269,0.00,0.27,1571735186545,0.00,1571735187462,1571735188241
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735188528,1571735190391,0.00,0.26,1571735188680,0.00,1571735189568,1571735190361
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735190637,1571735192475,0.00,0.26,1571735190774,0.00,1571735191658,1571735192446
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735192695,1571735194555,0.00,0.26,1571735192846,0.00,1571735193736,1571735194524
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735194847,1571735196697,0.00,0.26,1571735195002,0.00,1571735195891,1571735196669
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735196920,1571735198744,0.00,0.26,1571735197049,0.00,1571735197934,1571735198719
3-clique,WCOJ,AllTuples(),1,000000540.225,1571735199348,1571735201355,0.00,0.26,1571735199597,0.00,1571735200577,1571735201334
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571735202074,1571735204210,0.00,0.26,1571735202115,0.00,1571735202150,1571735204190
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571735204411,1571735206558,0.00,0.26,1571735204460,0.00,1571735204506,1571735206534
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571735206726,1571735209066,0.00,0.26,1571735206777,0.00,1571735206824,1571735209045
4-clique,GraphWCOJ,AllTuples(),1,000000260.786,1571735209224,1571735211525,0.00,0.26,1571735209270,0.00,1571735209314,1571735211506
