# Dataset: AmazonCoPurchase 1234877 file:///export/scratch2/per/datasets/amazon-0302
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836692780,1571836697020,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836697473,1571836700907,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836701220,1571836703934,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836704366,1571836707352,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836707620,1571836711037,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836711332,1571836714172,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836714420,1571836716754,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836717039,1571836719261,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836719644,1571836721793,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000188.705,1571836722426,1571836724552,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000047.824,1571836725341,1571836730635,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000047.824,1571836731074,1571836735432,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000047.824,1571836735840,1571836739738,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000047.824,1571836740187,1571836743398,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000047.824,1571836743901,1571836747279,0.00,0.00,0,0.00,0,0
