# Dataset: AmazonCoPurchase 3387388 file:///export/scratch2/per/datasets/amazon-0601
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908768860,1571908790509,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908790925,1571908809704,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908810013,1571908823537,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908823911,1571908834965,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908835432,1571908848557,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908849128,1571908859840,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908860305,1571908873830,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908874330,1571908886607,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908887102,1571908900373,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,00001.137.579,1571908900897,1571908914646,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908915485,1571908931231,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908932099,1571908948267,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908948677,1571908963617,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908964939,1571908980401,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908981159,1571908998637,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571908999239,1571909015611,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571909016122,1571909031711,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571909032301,1571909044614,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571909045185,1571909061551,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000911.548,1571909061968,1571909079671,0.00,0.00,0,0.00,0,0
5-clique,BroadcastHashJoin,Spark,1,000000585.171,1571909080327,1571909100453,0.00,0.00,0,0.00,0,0
