# Dataset: SNB 453030 file:///export/scratch2/per/datasets/snb1
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 62292f2a890d08d912ba9817721182e539301f38
# Machine: diamonds2.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845225952,1571845239596,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845240130,1571845255377,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845255598,1571845267132,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845267335,1571845277479,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845277854,1571845289384,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845289664,1571845300029,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845300282,1571845310175,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845310479,1571845322329,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845322825,1571845333268,0.00,0.00,0,0.00,0,0
3-clique,BroadcastHashJoin,Spark,1,000000540.225,1571845333568,1571845343086,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845343613,1571845358488,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845358933,1571845373875,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845374225,1571845388691,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845388987,1571845403927,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845404299,1571845418900,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845419228,1571845434887,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845435218,1571845450396,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845450762,1571845464538,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845465337,1571845478673,0.00,0.00,0,0.00,0,0
4-clique,BroadcastHashJoin,Spark,1,000000260.786,1571845479374,1571845492606,0.00,0.00,0,0.00,0,0
