# Dataset: TwitterSnapEgo 1768135 file:////export/scratch2/per/datasets/snap-twitter-ego-combined
# Repetitions: 10
# Batchsize: List(1)
# Git commit: 25bf56033310c6fc44c39605a069483d111742c9
# Machine: diamonds4.scilens.private
# Materializing Leapfrogjoins: Enabled (for GraphWCOJ only, WCOJ run without materializing)
# Comment: 
Query,Algorithm,Partitioning,Parallelism,Count,Start,End,Copy,Materialization,AlgoStart,WCOJTime-0,Scheduled-0,AlgoEnd-0
# Materialization time (GraphWCOJ):0.28
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748286668,1571748288580,0.00,0.00,1571748286780,0.00,1571748286833,1571748288549
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748288797,1571748290735,0.00,0.00,1571748288872,0.00,1571748288921,1571748290689
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748290987,1571748293086,0.00,0.00,1571748291056,0.00,1571748291104,1571748293052
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748293452,1571748295282,0.00,0.00,1571748293548,0.00,1571748293602,1571748295259
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748295471,1571748297206,0.00,0.00,1571748295530,0.00,1571748295577,1571748297177
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748297405,1571748299127,0.00,0.00,1571748297462,0.00,1571748297509,1571748299105
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748299260,1571748300983,0.00,0.00,1571748299313,0.00,1571748299360,1571748300958
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748301126,1571748302845,0.00,0.00,1571748301176,0.00,1571748301229,1571748302820
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748303045,1571748304924,0.00,0.00,1571748303095,0.00,1571748303147,1571748304899
3-clique,GraphWCOJ,AllTuples(),1,00004.403.014,1571748305118,1571748307039,0.00,0.00,1571748305171,0.00,1571748305214,1571748307014
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748307322,1571748315740,0.00,1.10,1571748307643,0.00,1571748312452,1571748315697
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748316041,1571748323976,0.00,1.34,1571748316280,0.00,1571748320886,1571748323937
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748324738,1571748331246,0.00,1.00,1571748324889,0.00,1571748328204,1571748331213
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748331469,1571748339184,0.00,2.18,1571748331647,0.00,1571748336306,1571748339160
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748339457,1571748346065,0.00,1.18,1571748339611,0.00,1571748343002,1571748346040
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748346261,1571748352886,0.00,1.31,1571748346405,0.00,1571748349907,1571748352857
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748353147,1571748359063,0.00,0.96,1571748353292,0.00,1571748356251,1571748359038
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748359406,1571748365608,0.00,1.00,1571748359545,0.00,1571748362709,1571748365568
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748365933,1571748371796,0.00,0.95,1571748366057,0.00,1571748368991,1571748371773
3-clique,WCOJ,AllTuples(),1,00004.403.014,1571748372575,1571748378704,0.00,0.98,1571748372782,0.00,1571748375851,1571748378680
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748379066,1571748396644,0.00,0.98,1571748379112,0.00,1571748379147,1571748396600
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748396941,1571748414240,0.00,0.98,1571748396981,0.00,1571748397016,1571748414218
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748414554,1571748432127,0.00,0.98,1571748414610,0.00,1571748414651,1571748432082
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748432479,1571748450071,0.00,0.98,1571748432534,0.00,1571748432580,1571748450043
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748450320,1571748467200,0.00,0.98,1571748450366,0.00,1571748450402,1571748467174
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748467538,1571748484946,0.00,0.98,1571748467596,0.00,1571748467636,1571748484923
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748485195,1571748502090,0.00,0.98,1571748485239,0.00,1571748485271,1571748502068
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748502395,1571748519372,0.00,0.98,1571748502438,0.00,1571748502470,1571748519352
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748519652,1571748536450,0.00,0.98,1571748519697,0.00,1571748519732,1571748536424
4-clique,GraphWCOJ,AllTuples(),1,00019.139.081,1571748536738,1571748553567,0.00,0.98,1571748536780,0.00,1571748536813,1571748553549
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748554331,1571748598959,0.00,1.02,1571748554648,0.00,1571748562524,1571748598933
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748599167,1571748645432,0.00,1.01,1571748599349,0.00,1571748607507,1571748645403
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748645685,1571748693754,0.00,1.67,1571748645894,0.00,1571748653377,1571748693727
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748694045,1571748741130,0.00,1.19,1571748694225,0.00,1571748700305,1571748741110
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748741943,1571748783638,0.00,0.95,1571748742167,0.00,1571748748160,1571748783613
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748783897,1571748823123,0.00,0.94,1571748784085,0.00,1571748792264,1571748823100
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748823387,1571748861510,0.00,1.25,1571748823572,0.00,1571748829937,1571748861489
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748861749,1571748899599,0.00,0.96,1571748861937,0.00,1571748867732,1571748899572
4-clique,WCOJ,AllTuples(),1,00019.139.081,1571748900324,1571748937044,0.00,0.95,1571748900494,0.00,1571748906247,1571748937021
