# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 5
# Git commit: 8beb6c6715a573ff9d98212b3d97f8ab6a4cce37
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,BinaryJoins,000000540.225,13.55,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.62,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.67,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.16,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.69,0.00,0.00,0.00
4-clique,WCOJ,000000260.786,7.05,4.93,0.01,1.71
4-clique,WCOJ,000000260.786,6.78,4.93,0.01,1.55
4-clique,WCOJ,000000260.786,6.76,4.90,0.01,1.56
4-clique,WCOJ,000000260.786,6.81,4.90,0.01,1.54
4-clique,WCOJ,000000260.786,6.76,4.93,0.01,1.53
4-clique,GraphWCOJ,000000260.786,4.00,3.14,0.01,0.68
4-clique,GraphWCOJ,000000260.786,4.01,3.15,0.01,0.68
4-clique,GraphWCOJ,000000260.786,4.04,3.13,0.01,0.72
4-clique,GraphWCOJ,000000260.786,4.13,3.13,0.01,0.80
4-clique,GraphWCOJ,000000260.786,3.97,3.11,0.01,0.68
4-clique,BinaryJoins,000000260.786,19.07,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.99,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,16.47,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,15.12,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.73,0.00,0.00,0.00
5-clique,WCOJ,000000040.137,15.28,11.95,0.01,2.74
5-clique,WCOJ,000000040.137,16.08,12.99,0.00,2.58
5-clique,WCOJ,000000040.137,16.03,12.60,0.00,3.05
5-clique,WCOJ,000000040.137,15.92,12.50,0.00,2.97
5-clique,WCOJ,000000040.137,15.03,12.03,0.01,2.56
5-clique,GraphWCOJ,000000040.137,5.58,4.75,0.00,0.68
5-clique,GraphWCOJ,000000040.137,5.59,4.76,0.00,0.68
5-clique,GraphWCOJ,000000040.137,5.64,4.81,0.00,0.68
5-clique,GraphWCOJ,000000040.137,5.56,4.73,0.00,0.68
5-clique,GraphWCOJ,000000040.137,5.59,4.76,0.00,0.68
5-clique,BinaryJoins,000000040.137,22.30,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,15.98,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.35,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.44,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,17.01,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,22.03,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,19.25,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,18.81,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,18.92,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,19.19,0.00,0.00,0.00
house,WCOJ,00100.206.468,95.97,81.64,4.38,2.36
house,WCOJ,00100.206.468,100.46,86.18,4.32,2.38
house,WCOJ,00100.206.468,97.96,83.88,4.42,2.08
house,WCOJ,00100.206.468,106.38,91.62,4.41,2.85
house,WCOJ,00100.206.468,98.70,84.80,4.33,2.08
house,GraphWCOJ,00100.206.468,76.21,63.79,4.42,0.79
house,GraphWCOJ,00100.206.468,74.84,62.29,4.70,0.67
house,GraphWCOJ,00100.206.468,76.60,64.30,4.29,0.79
house,GraphWCOJ,00100.206.468,76.74,64.41,4.27,0.79
house,GraphWCOJ,00100.206.468,77.03,64.53,4.43,0.79
house,BinaryJoins,00100.206.468,222.96,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,232.34,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,220.46,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,220.38,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,221.89,0.00,0.00,0.00
kite,GraphWCOJ,00001.780.235,5.19,2.95,0.07,1.46
kite,GraphWCOJ,00001.780.235,3.83,2.38,0.07,1.02
kite,GraphWCOJ,00001.780.235,3.93,2.37,0.07,0.93
kite,GraphWCOJ,00001.780.235,3.38,2.34,0.07,0.68
kite,GraphWCOJ,00001.780.235,3.55,2.32,0.07,0.83
kite,WCOJ,00001.780.235,7.32,3.51,0.07,3.08
kite,WCOJ,00001.780.235,5.88,3.20,0.08,2.16
kite,WCOJ,00001.780.235,6.97,3.33,0.07,3.05
kite,WCOJ,00001.780.235,5.84,3.14,0.07,2.23
kite,WCOJ,00001.780.235,6.10,3.27,0.07,2.34
3-clique,GraphWCOJ,000000540.225,2.72,0.73,0.02,1.33
3-clique,GraphWCOJ,000000540.225,1.57,0.58,0.02,0.74
3-clique,GraphWCOJ,000000540.225,1.50,0.56,0.02,0.70
3-clique,GraphWCOJ,000000540.225,1.60,0.57,0.02,0.71
3-clique,GraphWCOJ,000000540.225,1.48,0.56,0.02,0.69
3-clique,WCOJ,000000540.225,2.42,1.03,0.02,1.02
3-clique,WCOJ,000000540.225,2.20,0.86,0.02,1.08
3-clique,WCOJ,000000540.225,2.05,0.86,0.02,0.88
3-clique,WCOJ,000000540.225,1.92,0.85,0.02,0.80
3-clique,WCOJ,000000540.225,2.24,0.88,0.02,1.11
