# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: 238f7a17d427840881eba0ce2990c6ede572bada
# Comment: SNB-sf1
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,NoMat,000000540.225,3.11,0.96,0.03,1.46
3-clique,NoMat,000000540.225,1.81,0.58,0.02,0.95
3-clique,NoMat,000000540.225,1.55,0.58,0.02,0.74
4-clique,NoMat,000000260.786,3.64,2.56,0.01,0.82
4-clique,NoMat,000000260.786,3.55,2.65,0.01,0.68
4-clique,NoMat,000000260.786,3.47,2.60,0.01,0.69
5-clique,NoMat,000000040.137,4.95,3.94,0.00,0.80
5-clique,NoMat,000000040.137,4.75,3.92,0.00,0.67
5-clique,NoMat,000000040.137,4.82,3.96,0.00,0.70
4-cycle,NoMat,00232.636.376,171.06,144.30,9.30,0.92
4-cycle,NoMat,00232.636.376,171.17,140.57,11.20,0.79
4-cycle,NoMat,00232.636.376,170.65,140.46,11.06,0.68
kite,NoMat,00001.780.235,3.26,2.23,0.08,0.68
kite,NoMat,00001.780.235,3.27,2.24,0.08,0.68
kite,NoMat,00001.780.235,3.32,2.29,0.08,0.67
house,NoMat,00100.206.468,62.87,51.00,4.01,0.68
house,NoMat,00100.206.468,62.66,50.85,4.00,0.68
house,NoMat,00100.206.468,62.46,50.49,4.24,0.67
