# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: d1320d3fe7dd3e5991e607dd2e3e138669912abf
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
house,GraphWCOJ,00100.206.468,63.80,50.46,3.93,1.54
house,GraphWCOJ,00100.206.468,62.37,50.25,4.02,0.84
house,GraphWCOJ,00100.206.468,62.65,50.65,3.99,0.70
house,WCOJ,00100.206.468,114.62,99.17,4.01,3.09
house,WCOJ,00100.206.468,112.80,98.90,4.11,2.25
house,WCOJ,00100.206.468,112.47,98.18,4.07,2.44
3-clique,GraphWCOJ,000000540.225,1.48,0.58,0.02,0.69
3-clique,GraphWCOJ,000000540.225,1.45,0.57,0.02,0.68
3-clique,GraphWCOJ,000000540.225,1.46,0.57,0.02,0.69
3-clique,WCOJ,000000540.225,1.86,0.81,0.02,0.77
3-clique,WCOJ,000000540.225,1.82,0.81,0.02,0.76
3-clique,WCOJ,000000540.225,1.80,0.80,0.02,0.76
4-cycle,GraphWCOJ,00232.636.376,167.78,140.07,9.73,0.83
4-cycle,GraphWCOJ,00232.636.376,163.93,137.20,9.42,0.68
4-cycle,GraphWCOJ,00232.636.376,163.41,136.74,9.30,0.69
4-cycle,WCOJ,00232.636.376,214.53,186.93,9.33,1.50
4-cycle,WCOJ,00232.636.376,211.52,184.04,9.44,1.29
4-cycle,WCOJ,00232.636.376,215.13,187.19,9.42,1.59
4-clique,GraphWCOJ,000000260.786,3.36,2.52,0.01,0.68
4-clique,GraphWCOJ,000000260.786,3.53,2.52,0.01,0.83
4-clique,GraphWCOJ,000000260.786,3.34,2.52,0.01,0.67
4-clique,WCOJ,000000260.786,7.47,5.36,0.02,1.71
4-clique,WCOJ,000000260.786,7.23,5.31,0.01,1.59
4-clique,WCOJ,000000260.786,7.31,5.33,0.01,1.71
5-clique,GraphWCOJ,000000040.137,4.84,3.86,0.00,0.82
5-clique,GraphWCOJ,000000040.137,4.68,3.88,0.00,0.68
5-clique,GraphWCOJ,000000040.137,4.66,3.86,0.00,0.68
5-clique,WCOJ,000000040.137,16.07,12.41,0.00,3.11
5-clique,WCOJ,000000040.137,17.06,13.67,0.00,3.03
5-clique,WCOJ,000000040.137,17.04,13.74,0.00,2.85
