# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 10
# Git commit: c84462e01fd04c080dc36ecb276ea11c6371ad8a
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,BinaryJoins,000000540.225,12.07,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.89,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.71,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.23,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.17,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.75,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.80,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.18,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,14.40,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,14.06,0.00,0.00,0.00
3-clique,WCOJ,000000540.225,2.81,0.85,0.02,1.42
3-clique,WCOJ,000000540.225,2.06,0.78,0.02,0.97
3-clique,WCOJ,000000540.225,1.80,0.76,0.02,0.80
3-clique,WCOJ,000000540.225,1.80,0.75,0.02,0.79
3-clique,WCOJ,000000540.225,1.79,0.75,0.02,0.79
3-clique,WCOJ,000000540.225,1.90,0.80,0.02,0.82
3-clique,WCOJ,000000540.225,2.01,0.76,0.02,0.95
3-clique,WCOJ,000000540.225,1.85,0.75,0.02,0.81
3-clique,WCOJ,000000540.225,2.22,0.76,0.02,1.24
3-clique,WCOJ,000000540.225,2.09,0.76,0.02,1.06
3-clique,GraphWCOJ,000000540.225,2.58,1.08,0.02,1.20
3-clique,GraphWCOJ,000000540.225,1.68,0.82,0.02,0.68
3-clique,GraphWCOJ,000000540.225,1.64,0.80,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.64,0.80,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.65,0.80,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.66,0.80,0.02,0.68
3-clique,GraphWCOJ,000000540.225,1.65,0.80,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.82,0.80,0.02,0.82
3-clique,GraphWCOJ,000000540.225,1.64,0.80,0.02,0.67
3-clique,GraphWCOJ,000000540.225,1.65,0.80,0.02,0.67
4-clique,BinaryJoins,000000260.786,18.77,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.85,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.62,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.82,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,15.40,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.60,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.39,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.14,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.37,0.00,0.00,0.00
