# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: d1320d3fe7dd3e5991e607dd2e3e138669912abf
# Comment:
Query,Algorithm,Count,Time,WCOJTime,copy,mat
kite,GraphWCOJ,00001.780.235,4.78,2.64,0.07,1.36
kite,GraphWCOJ,00001.780.235,3.58,2.17,0.07,0.99
kite,GraphWCOJ,00001.780.235,3.58,2.43,0.07,0.74
kite,WCOJ,00001.780.235,6.73,3.44,0.07,2.53
kite,WCOJ,00001.780.235,5.99,3.22,0.07,2.21
kite,WCOJ,00001.780.235,5.51,3.09,0.07,1.96
# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: d1320d3fe7dd3e5991e607dd2e3e138669912abf
# Comment:
house,GraphWCOJ,00100.206.468,63.80,50.46,3.93,1.54
house,GraphWCOJ,00100.206.468,62.37,50.25,4.02,0.84
house,GraphWCOJ,00100.206.468,62.65,50.65,3.99,0.70
house,WCOJ,00100.206.468,114.62,99.17,4.01,3.09
house,WCOJ,00100.206.468,112.80,98.90,4.11,2.25
house,WCOJ,00100.206.468,112.47,98.18,4.07,2.44
3-clique,GraphWCOJ,000000540.225,1.48,0.58,0.02,0.69
3-clique,GraphWCOJ,000000540.225,1.45,0.57,0.02,0.68
3-clique,GraphWCOJ,000000540.225,1.46,0.57,0.02,0.69
3-clique,WCOJ,000000540.225,1.86,0.81,0.02,0.77
3-clique,WCOJ,000000540.225,1.82,0.81,0.02,0.76
3-clique,WCOJ,000000540.225,1.80,0.80,0.02,0.76
4-cycle,GraphWCOJ,00232.636.376,167.78,140.07,9.73,0.83
4-cycle,GraphWCOJ,00232.636.376,163.93,137.20,9.42,0.68
4-cycle,GraphWCOJ,00232.636.376,163.41,136.74,9.30,0.69
4-cycle,WCOJ,00232.636.376,214.53,186.93,9.33,1.50
4-cycle,WCOJ,00232.636.376,211.52,184.04,9.44,1.29
4-cycle,WCOJ,00232.636.376,215.13,187.19,9.42,1.59
# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 10
# Git commit: c84462e01fd04c080dc36ecb276ea11c6371ad8a
# Comment:
3-clique,BinaryJoins,000000540.225,12.07,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.89,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.71,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.23,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.17,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.75,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.80,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,11.18,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,14.40,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,14.06,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,18.77,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.85,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.62,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.82,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,15.40,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.60,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.39,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.14,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.37,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,14.90,0.00,0.00,0.00
4-clique,WCOJ,000000260.786,7.75,5.40,0.01,1.95
4-clique,WCOJ,000000260.786,6.76,4.92,0.01,1.56
4-clique,WCOJ,000000260.786,6.79,4.99,0.01,1.55
4-clique,WCOJ,000000260.786,7.15,5.32,0.01,1.57
4-clique,WCOJ,000000260.786,7.34,4.94,0.01,2.10
4-clique,WCOJ,000000260.786,7.18,5.34,0.01,1.58
4-clique,WCOJ,000000260.786,6.84,5.02,0.01,1.56
4-clique,WCOJ,000000260.786,6.81,4.99,0.01,1.56
4-clique,WCOJ,000000260.786,7.16,5.35,0.01,1.56
4-clique,WCOJ,000000260.786,7.07,5.26,0.01,1.55
4-clique,GraphWCOJ,000000260.786,4.62,3.63,0.01,0.83
4-clique,GraphWCOJ,000000260.786,4.58,3.63,0.01,0.76
4-clique,GraphWCOJ,000000260.786,4.52,3.62,0.01,0.74
4-clique,GraphWCOJ,000000260.786,4.48,3.65,0.01,0.69
4-clique,GraphWCOJ,000000260.786,4.50,3.65,0.01,0.71
4-clique,GraphWCOJ,000000260.786,4.48,3.65,0.01,0.69
4-clique,GraphWCOJ,000000260.786,4.46,3.64,0.01,0.68
4-clique,GraphWCOJ,000000260.786,4.45,3.62,0.01,0.69
4-clique,GraphWCOJ,000000260.786,4.47,3.65,0.01,0.69
4-clique,GraphWCOJ,000000260.786,4.47,3.62,0.01,0.69
5-clique,BinaryJoins,000000040.137,19.90,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.55,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.54,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,19.39,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.18,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.28,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,19.16,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,16.32,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,17.27,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,18.39,0.00,0.00,0.00
5-clique,GraphWCOJ,000000040.137,4.84,3.86,0.00,0.82
5-clique,GraphWCOJ,000000040.137,4.68,3.88,0.00,0.68
5-clique,GraphWCOJ,000000040.137,4.66,3.86,0.00,0.68
5-clique,WCOJ,000000040.137,16.07,12.41,0.00,3.11
5-clique,WCOJ,000000040.137,17.06,13.67,0.00,3.03
5-clique,WCOJ,000000040.137,17.04,13.74,0.00,2.85
house,BinaryJoins,00100.206.468,227.66,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,226.27,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,230.91,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,219.01,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,220.28,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,226.31,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,226.76,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,227.72,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,223.56,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,224.87,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,633.99,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,628.30,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,651.00,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,631.17,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,623.56,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,629.20,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,627.80,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,623.87,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,630.55,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,637.53,0.00,0.00,0.00
