# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: 238f7a17d427840881eba0ce2990c6ede572bada
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000540.225,2.50,0.65,0.02,1.21
3-clique,GraphWCOJ,000000540.225,1.53,0.52,0.02,0.75
3-clique,GraphWCOJ,000000540.225,1.43,0.50,0.02,0.70
4-clique,GraphWCOJ,000000260.786,2.78,1.86,0.01,0.70
4-clique,GraphWCOJ,000000260.786,2.74,1.87,0.01,0.68
4-clique,GraphWCOJ,000000260.786,2.73,1.84,0.01,0.69
5-clique,GraphWCOJ,000000040.137,3.33,2.48,0.00,0.68
5-clique,GraphWCOJ,000000040.137,3.37,2.49,0.00,0.70
5-clique,GraphWCOJ,000000040.137,3.41,2.50,0.00,0.75
4-cycle,GraphWCOJ,00232.636.376,157.70,130.34,9.62,0.71
4-cycle,GraphWCOJ,00232.636.376,155.34,128.23,9.53,0.79
4-cycle,GraphWCOJ,00232.636.376,156.38,129.28,9.45,0.81
kite,GraphWCOJ,00001.780.235,3.00,1.98,0.07,0.69
kite,GraphWCOJ,00001.780.235,2.95,1.94,0.07,0.68
kite,GraphWCOJ,00001.780.235,2.98,1.96,0.07,0.68
house,GraphWCOJ,00100.206.468,52.69,40.34,4.17,0.69
house,GraphWCOJ,00100.206.468,52.71,40.44,4.17,0.69
house,GraphWCOJ,00100.206.468,52.05,40.09,4.09,0.69
# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 3
# Git commit: 238f7a17d427840881eba0ce2990c6ede572bada
# Comment:
3-clique,NoMat,000000540.225,3.11,0.96,0.03,1.46
3-clique,NoMat,000000540.225,1.81,0.58,0.02,0.95
3-clique,NoMat,000000540.225,1.55,0.58,0.02,0.74
4-clique,NoMat,000000260.786,3.64,2.56,0.01,0.82
4-clique,NoMat,000000260.786,3.55,2.65,0.01,0.68
4-clique,NoMat,000000260.786,3.47,2.60,0.01,0.69
5-clique,NoMat,000000040.137,4.95,3.94,0.00,0.80
5-clique,NoMat,000000040.137,4.75,3.92,0.00,0.67
5-clique,NoMat,000000040.137,4.82,3.96,0.00,0.70
4-cycle,NoMat,00232.636.376,171.06,144.30,9.30,0.92
4-cycle,NoMat,00232.636.376,171.17,140.57,11.20,0.79
4-cycle,NoMat,00232.636.376,170.65,140.46,11.06,0.68
kite,NoMat,00001.780.235,3.26,2.23,0.08,0.68
kite,NoMat,00001.780.235,3.27,2.24,0.08,0.68
kite,NoMat,00001.780.235,3.32,2.29,0.08,0.67
house,NoMat,00100.206.468,62.87,51.00,4.01,0.68
house,NoMat,00100.206.468,62.66,50.85,4.00,0.68
house,NoMat,00100.206.468,62.46,50.49,4.24,0.67
