# Dataset: SNB 453030 file:///scratch/per/datasets/snb1
# Repetitions: 5
# Git commit: b44b0c3be80cde2bf806f0a3cbd0482de02a5067
# Comment: 
Query,Algorithm,Count,Time,WCOJTime,copy,mat
3-clique,GraphWCOJ,000000540.225,2.77,0.73,0.03,1.35
3-clique,GraphWCOJ,000000540.225,1.97,0.64,0.02,1.02
3-clique,GraphWCOJ,000000540.225,1.62,0.59,0.02,0.78
3-clique,GraphWCOJ,000000540.225,1.81,0.61,0.02,0.94
3-clique,GraphWCOJ,000000540.225,1.67,0.59,0.03,0.82
3-clique,BinaryJoins,000000540.225,14.16,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.81,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,13.36,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,13.16,0.00,0.00,0.00
3-clique,BinaryJoins,000000540.225,12.81,0.00,0.00,0.00
4-clique,GraphWCOJ,000000260.786,3.22,2.19,0.01,0.84
4-clique,GraphWCOJ,000000260.786,3.15,2.18,0.01,0.81
4-clique,GraphWCOJ,000000260.786,3.40,2.33,0.01,0.89
4-clique,GraphWCOJ,000000260.786,3.16,2.18,0.01,0.82
4-clique,GraphWCOJ,000000260.786,3.36,2.34,0.01,0.83
4-clique,BinaryJoins,000000260.786,18.79,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.68,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.55,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.85,0.00,0.00,0.00
4-clique,BinaryJoins,000000260.786,17.53,0.00,0.00,0.00
5-clique,GraphWCOJ,000000040.137,3.86,2.89,0.00,0.83
5-clique,GraphWCOJ,000000040.137,4.01,2.98,0.00,0.89
5-clique,GraphWCOJ,000000040.137,4.16,3.15,0.00,0.88
5-clique,GraphWCOJ,000000040.137,4.20,3.17,0.00,0.89
5-clique,GraphWCOJ,000000040.137,3.79,2.85,0.00,0.78
5-clique,BinaryJoins,000000040.137,21.63,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,19.83,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,19.43,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,19.42,0.00,0.00,0.00
5-clique,BinaryJoins,000000040.137,20.91,0.00,0.00,0.00
kite,GraphWCOJ,00001.780.235,3.60,2.41,0.09,0.82
kite,GraphWCOJ,00001.780.235,3.45,2.28,0.08,0.81
kite,GraphWCOJ,00001.780.235,3.46,2.31,0.08,0.80
kite,GraphWCOJ,00001.780.235,3.44,2.29,0.08,0.80
kite,GraphWCOJ,00001.780.235,3.60,2.37,0.09,0.87
kite,BinaryJoins,00001.780.235,22.84,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,22.99,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,22.77,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,23.49,0.00,0.00,0.00
kite,BinaryJoins,00001.780.235,24.05,0.00,0.00,0.00
diamond,GraphWCOJ,00232.636.376,190.13,158.07,11.05,0.81
diamond,GraphWCOJ,00232.636.376,192.82,160.44,11.15,1.03
diamond,GraphWCOJ,00232.636.376,187.16,155.68,10.88,1.02
diamond,GraphWCOJ,00232.636.376,189.94,158.14,11.01,0.98
diamond,GraphWCOJ,00232.636.376,198.98,164.56,11.90,0.99
3-clique,WCOJ,000000540.225,3.24,0.80,0.03,1.63
3-clique,WCOJ,000000540.225,1.94,0.75,0.02,0.85
3-clique,WCOJ,000000540.225,1.81,0.72,0.02,0.77
3-clique,WCOJ,000000540.225,1.77,0.72,0.02,0.77
3-clique,WCOJ,000000540.225,1.74,0.71,0.02,0.77
4-clique,WCOJ,000000260.786,7.57,5.02,0.01,2.08
4-clique,WCOJ,000000260.786,7.08,4.96,0.01,1.80
4-clique,WCOJ,000000260.786,7.00,4.90,0.02,1.74
4-clique,WCOJ,000000260.786,7.08,4.59,0.01,2.18
4-clique,WCOJ,000000260.786,6.72,4.88,0.01,1.52
5-clique,WCOJ,000000040.137,17.50,13.62,0.00,3.35
5-clique,WCOJ,000000040.137,16.05,12.91,0.00,2.72
5-clique,WCOJ,000000040.137,15.46,12.44,0.00,2.60
5-clique,WCOJ,000000040.137,15.91,12.35,0.00,3.15
5-clique,WCOJ,000000040.137,15.41,12.00,0.00,3.03
kite,WCOJ,00001.780.235,5.17,2.53,0.08,2.15
kite,WCOJ,00001.780.235,5.13,2.56,0.08,2.13
kite,WCOJ,00001.780.235,4.98,2.53,0.07,2.02
kite,WCOJ,00001.780.235,5.10,2.56,0.07,2.06
kite,WCOJ,00001.780.235,5.55,2.70,0.07,2.43
diamond,WCOJ,00232.636.376,201.39,173.45,9.79,1.07
diamond,WCOJ,00232.636.376,193.98,166.23,9.69,1.15
diamond,WCOJ,00232.636.376,196.69,168.37,9.74,1.28
diamond,WCOJ,00232.636.376,194.10,165.09,10.72,1.06
diamond,WCOJ,00232.636.376,195.71,166.85,10.02,1.22
diamond,BinaryJoins,00232.636.376,935.09,0.00,0.00,0.00
diamond,BinaryJoins,00232.636.376,927.71,0.00,0.00,0.00
diamond,BinaryJoins,00232.636.376,934.31,0.00,0.00,0.00
diamond,BinaryJoins,00232.636.376,967.75,0.00,0.00,0.00
diamond,BinaryJoins,00232.636.376,1152.74,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,301.95,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,260.42,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,268.70,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,270.49,0.00,0.00,0.00
house,BinaryJoins,00100.206.468,285.99,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,662.80,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,666.05,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,661.67,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,665.39,0.00,0.00,0.00
4-cycle,BinaryJoins,00232.636.376,675.31,0.00,0.00,0.00
house,GraphWCOJ,00100.206.468,55.68,42.48,3.97,1.47
house,GraphWCOJ,00100.206.468,51.39,39.53,3.87,0.75
house,GraphWCOJ,00100.206.468,51.47,39.62,3.87,0.80
house,GraphWCOJ,00100.206.468,50.70,38.82,3.88,0.70
house,GraphWCOJ,00100.206.468,50.39,38.53,3.92,0.69
4-cycle,GraphWCOJ,00232.636.376,151.42,124.52,9.26,0.92
4-cycle,GraphWCOJ,00232.636.376,149.91,123.38,9.38,0.69
4-cycle,GraphWCOJ,00232.636.376,149.49,122.94,9.32,0.86
4-cycle,GraphWCOJ,00232.636.376,150.30,123.80,9.28,0.85
4-cycle,GraphWCOJ,00232.636.376,149.60,123.01,9.43,0.69
house,WCOJ,00100.206.468,99.41,83.53,4.08,3.55
house,WCOJ,00100.206.468,101.17,86.80,4.14,2.55
house,WCOJ,00100.206.468,105.11,90.17,4.38,2.85
house,WCOJ,00100.206.468,100.34,86.25,4.01,2.50
house,WCOJ,00100.206.468,101.38,87.57,4.07,2.2
4-cycle,WCOJ,00232.636.376,191.43,162.56,9.08,2.39
4-cycle,WCOJ,00232.636.376,191.63,164.09,9.12,1.64
4-cycle,WCOJ,00232.636.376,192.10,164.13,9.08,1.58
4-cycle,WCOJ,00232.636.376,191.00,163.69,9.22,1.28
4-cycle,WCOJ,00232.636.376,194.38,167.17,9.15,1.29

