Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),sbin,000000540.225,011.88,000.00,000.00,000.00
Clique(4),sbin,000000260.786,015.43,000.00,000.00,000.00
Clique(5),sbin,000000040.137,018.64,000.00,000.00,000.00
Clique(3),WCOJ,000000540.225,002.27,000.73,000.02,001.07
Clique(4),WCOJ,000000260.786,007.65,004.85,000.01,002.32
Clique(5),WCOJ,000000040.137,016.28,012.65,000.00,003.08
House,WCOJ,00100.206.468,99.45,85.18,3.99,2.59
House,sbin,00100.206.468,300.13,0.00,0.00,0.00
Kite,sbin,00001.780.235,21.59,0.00,0.00,0.00
Kite,WCOJ,00001.780.235,5.05,2.45,0.07,2.13
Cycle(4),WCOJ,00232.636.376,190.83,162.89,008.93,001.75
Cycle(4),sbin,00232.636.376,636.77,000.00,000.00,000.00
Cycle(5),WCOJ,20.068.067.110,19109.63,16827.96,841.54,002.19
Path-3-0.001,WCOJ,00065.290.479,14.47,6.05,2.71,0.57
Path-3-0.001,sbin,00065.290.479,1.76,0.00,0.00,0.00
Path-4-0.001,WCOJ,7.235.522.926,1462.70,655.52,292.51,0.76
Path-4-0.001,sbin,7.235.522.926,111.73,0.00,0.00,0.00
